,jd,mag,mag_unc,filter,limmag,programid
0,44242.26070396392,20.516509724117913,0.1,ps1__g,inf,0.0
1,44242.26070396392,19.560206216039877,0.1,ps1__r,inf,0.0
2,44242.26070396392,24.944715240193776,0.1,ps1__i,inf,0.0
3,44242.26070396392,28.347256751731138,0.1,2massh,inf,0.0
4,44242.26070396392,20.458388901622943,0.1,sdssu,inf,0.0
5,44242.26070396392,21.63180905913368,0.1,ps1__z,inf,0.0
6,44242.36070396392,18.318416367277116,0.1,ps1__r,inf,0.0
7,44242.36070396392,19.24859641459768,0.1,ps1__z,inf,0.0
8,44242.36070396392,19.107829276086346,0.1,ps1__g,inf,0.0
9,44242.36070396392,19.4075856297135,0.1,sdssu,inf,0.0
10,44242.36070396392,21.60862610591419,0.1,ps1__i,inf,0.0
11,44242.36070396392,25.256969330171817,0.1,2massh,inf,0.0
12,44242.46070396392,22.13060794725536,0.1,2massh,inf,0.0
13,44242.46070396392,17.06725522198379,0.1,ps1__r,inf,0.0
14,44242.46070396392,17.216010971464414,0.1,ps1__z,inf,0.0
15,44242.46070396392,17.903376549335707,0.1,ps1__g,inf,0.0
16,44242.46070396392,18.616048931223755,0.1,sdssu,inf,0.0
17,44242.46070396392,18.833462230841366,0.1,ps1__i,inf,0.0
18,44242.56070396392,20.247307808364784,0.1,2massh,inf,0.0
19,44242.56070396392,18.09441008992625,0.1,ps1__i,inf,0.0
20,44242.56070396392,16.82085151464167,0.1,ps1__z,inf,0.0
21,44242.56070396392,16.57518852091485,0.1,ps1__r,inf,0.0
22,44242.56070396392,17.62776957958292,0.1,ps1__g,inf,0.0
23,44242.56070396392,18.295437272808613,0.1,sdssu,inf,0.0
24,44242.66070396392,15.8460702656067,0.1,ps1__r,inf,0.0
25,44242.66070396392,17.81973729282107,0.1,ps1__i,inf,0.0
26,44242.66070396392,17.145296855082346,0.1,ps1__g,inf,0.0
27,44242.66070396392,18.055206359586087,0.1,sdssu,inf,0.0
28,44242.66070396392,20.288380042067978,0.1,2massh,inf,0.0
29,44242.66070396392,16.307304452255536,0.1,ps1__z,inf,0.0
30,44242.76070396392,19.78961879916601,0.1,2massh,inf,0.0
31,44242.76070396392,16.227991080826136,0.1,ps1__z,inf,0.0
32,44242.76070396392,17.558104314951038,0.1,ps1__i,inf,0.0
33,44242.76070396392,18.20389159991457,0.1,sdssu,inf,0.0
34,44242.76070396392,15.645977622683866,0.1,ps1__r,inf,0.0
35,44242.76070396392,17.042193054137435,0.1,ps1__g,inf,0.0
36,44242.86070396392,19.402210732551424,0.1,2massh,inf,0.0
37,44242.86070396392,15.55237927521005,0.1,ps1__r,inf,0.0
38,44242.86070396392,17.1372908758304,0.1,ps1__g,inf,0.0
39,44242.86070396392,15.743064555881949,0.1,ps1__z,inf,0.0
40,44242.86070396392,17.296080896075278,0.1,ps1__i,inf,0.0
41,44242.86070396392,18.407203848104455,0.1,sdssu,inf,0.0
42,44242.96070396392,15.51172423165581,0.1,ps1__z,inf,0.0
43,44242.96070396392,18.853916018488512,0.1,2massh,inf,0.0
44,44242.96070396392,15.456687824590459,0.1,ps1__r,inf,0.0
45,44242.96070396392,17.31143788901862,0.1,ps1__i,inf,0.0
46,44242.96070396392,18.54544945557561,0.1,sdssu,inf,0.0
47,44242.96070396392,17.097965634331253,0.1,ps1__g,inf,0.0
48,44243.06070396392,15.275720281569392,0.1,ps1__z,inf,0.0
49,44243.06070396392,18.388101768233785,0.1,2massh,inf,0.0
