Nested Sampling Global Log-Evidence           :   -0.816634188661548421E+01  +/-    0.929969630829338978E-01

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.816634188661548421E+01 +/-    0.929969630829338423E-01
Local Log-Evidence   -0.816634188661548421E+01 +/-    0.929969630829338978E-01

Dim No.       Mean        Sigma
   1   -0.227407400295557638E+01    0.111279849321198876E+01
   2    0.757779725530443926E+00    0.373874128088229118E+00
   3   -0.214274790809897775E+01    0.642433917422487899E+00
   4   -0.207119779590829234E+01    0.966324498378118735E+00
   5    0.232147230107171976E+00    0.598663528753035287E-01
   6    0.934966862410024219E-01    0.256175168071747054E-01
   7    0.277359493116068334E+00    0.477646510313887163E-01
   8    0.286563150490917073E+00    0.469006781738935813E-01
   9    0.687104669016619818E+00    0.415956458485678471E+00
  10    0.131748441625935499E+03    0.372968434526860904E+02

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.119693404269134884E+01
   2    0.141499380653973894E+01
   3   -0.150111895264662110E+01
   4   -0.358622125600343589E+01
   5    0.247676922601736377E+00
   6    0.900214628010310436E-01
   7    0.336196285966112174E+00
   8    0.244532333164222404E+00
   9    0.300387899350272658E+00
  10    0.152495111597137594E+03

MAP Parameters
Dim No.        Parameter
   1   -0.119693404269134884E+01
   2    0.141499380653973894E+01
   3   -0.150111895264662110E+01
   4   -0.358622125600343589E+01
   5    0.247676922601736377E+00
   6    0.900214628010310436E-01
   7    0.336196285966112174E+00
   8    0.244532333164222404E+00
   9    0.300387899350272658E+00
  10    0.152495111597137594E+03
