,jd,mag,mag_unc,filter,limmag,programid
37,44243.671814076566,17.16546496063377,0.1,ps1__r,inf,0.0
38,44243.671814076566,16.69690415489352,0.1,ps1__g,inf,0.0
39,44243.671814076566,16.066396122758434,0.1,ps1__z,inf,0.0
40,44243.671814076566,13.688840999003153,0.1,ps1__i,inf,0.0
41,44243.671814076566,18.48008416579677,0.1,sdssu,inf,0.0
42,44243.77181407657,15.959137578514927,0.1,ps1__z,inf,0.0
43,44243.77181407657,16.222902990009317,0.1,2massh,inf,0.0
44,44243.77181407657,17.044645495819474,0.1,ps1__r,inf,0.0
45,44243.77181407657,13.602710551444344,0.1,ps1__i,inf,0.0
46,44243.77181407657,18.47868807256385,0.1,sdssu,inf,0.0
47,44243.77181407657,16.57146420627401,0.1,ps1__g,inf,0.0
48,44243.87181407657,15.835309278301049,0.1,ps1__z,inf,0.0
49,44243.87181407657,16.20759744684194,0.1,2massh,inf,0.0
50,44243.87181407657,16.9123962322944,0.1,ps1__r,inf,0.0
51,44243.87181407657,13.427107103523081,0.1,ps1__i,inf,0.0
52,44243.87181407657,16.336133219151915,0.1,ps1__g,inf,0.0
53,44243.87181407657,18.68577382699284,0.1,sdssu,inf,0.0
54,44243.97181407657,16.009175303454427,0.1,2massh,inf,0.0
55,44243.97181407657,18.596933570726073,0.1,sdssu,inf,0.0
56,44243.97181407657,16.11182183723063,0.1,ps1__z,inf,0.0
57,44243.97181407657,17.188271194818658,0.1,ps1__r,inf,0.0
58,44243.97181407657,16.453448510182085,0.1,ps1__g,inf,0.0
59,44243.97181407657,13.31011468683838,0.1,ps1__i,inf,0.0
60,44244.07181407657,16.148696121643287,0.1,2massh,inf,0.0
61,44244.07181407657,18.79760688560335,0.1,sdssu,inf,0.0
62,44244.07181407657,16.784623571970176,0.1,ps1__r,inf,0.0
63,44244.07181407657,16.3780466750347,0.1,ps1__g,inf,0.0
64,44244.07181407657,15.964322932195035,0.1,ps1__z,inf,0.0
65,44244.07181407657,13.176718455226988,0.1,ps1__i,inf,0.0
66,44244.171814076566,16.45567781731782,0.1,ps1__g,inf,0.0
67,44244.171814076566,18.813804382366232,0.1,sdssu,inf,0.0
68,44244.171814076566,13.128236175213164,0.1,ps1__i,inf,0.0
69,44244.171814076566,16.055096171275967,0.1,2massh,inf,0.0
70,44244.171814076566,16.83496103644638,0.1,ps1__r,inf,0.0
71,44244.171814076566,15.77194028446089,0.1,ps1__z,inf,0.0
72,44244.27181407657,13.222322136086246,0.1,ps1__i,inf,0.0
73,44244.27181407657,15.679254914856939,0.1,ps1__z,inf,0.0
74,44244.27181407657,16.608793794188973,0.1,ps1__g,inf,0.0
75,44244.27181407657,19.00344014912404,0.1,sdssu,inf,0.0
76,44244.27181407657,16.791068629312672,0.1,ps1__r,inf,0.0
77,44244.27181407657,16.252631953723494,0.1,2massh,inf,0.0
78,44244.37181407657,15.52213656842422,0.1,ps1__z,inf,0.0
79,44244.37181407657,13.686226987815068,0.1,ps1__i,inf,0.0
80,44244.37181407657,15.966519349831874,0.1,2massh,inf,0.0
81,44244.37181407657,18.871403844670102,0.1,sdssu,inf,0.0
82,44244.37181407657,16.73188775216715,0.1,ps1__r,inf,0.0
83,44244.37181407657,16.48410050166797,0.1,ps1__g,inf,0.0
84,44244.47181407657,16.180488073318674,0.1,2massh,inf,0.0
85,44244.47181407657,15.864529625520758,0.1,ps1__z,inf,0.0
86,44244.47181407657,18.94744117475103,0.1,sdssu,inf,0.0
87,44244.47181407657,16.606221962650828,0.1,ps1__r,inf,0.0
88,44244.47181407657,16.594634883493462,0.1,ps1__g,inf,0.0
89,44244.47181407657,13.755257059796456,0.1,ps1__i,inf,0.0
90,44244.57181407657,15.636484661211288,0.1,ps1__z,inf,0.0
91,44244.57181407657,18.769574761603586,0.1,sdssu,inf,0.0
92,44244.57181407657,16.71516096046462,0.1,ps1__r,inf,0.0
93,44244.57181407657,16.015685318128742,0.1,2massh,inf,0.0
94,44244.57181407657,13.775328593595527,0.1,ps1__i,inf,0.0
95,44244.57181407657,16.77545450707203,0.1,ps1__g,inf,0.0
96,44244.671814076566,16.567152979059916,0.1,ps1__r,inf,0.0
97,44244.671814076566,15.635602901369598,0.1,ps1__z,inf,0.0
98,44244.671814076566,14.129523254362002,0.1,ps1__i,inf,0.0
99,44244.671814076566,15.922084066554579,0.1,2massh,inf,0.0
100,44244.671814076566,16.791704626305233,0.1,ps1__g,inf,0.0
101,44244.671814076566,18.974495669087126,0.1,sdssu,inf,0.0
102,44244.77181407657,15.933312974278193,0.1,2massh,inf,0.0
103,44244.77181407657,15.706732623739358,0.1,ps1__z,inf,0.0
104,44244.77181407657,14.150406557007367,0.1,ps1__i,inf,0.0
105,44244.77181407657,16.629923668102176,0.1,ps1__r,inf,0.0
106,44244.77181407657,17.015732213496065,0.1,ps1__g,inf,0.0
107,44244.77181407657,19.05150780329728,0.1,sdssu,inf,0.0
108,44244.87181407657,16.60974425013744,0.1,ps1__r,inf,0.0
109,44244.87181407657,16.98896696097113,0.1,ps1__g,inf,0.0
110,44244.87181407657,15.688241941427119,0.1,ps1__z,inf,0.0
111,44244.87181407657,18.90577120023495,0.1,sdssu,inf,0.0
112,44244.87181407657,15.916150015219525,0.1,2massh,inf,0.0
113,44244.87181407657,14.426747533705193,0.1,ps1__i,inf,0.0
114,44244.97181407657,14.450158261988612,0.1,ps1__i,inf,0.0
115,44244.97181407657,17.02161288600643,0.1,ps1__g,inf,0.0
116,44244.97181407657,18.971681340152053,0.1,sdssu,inf,0.0
117,44244.97181407657,15.707291408117532,0.1,ps1__z,inf,0.0
118,44244.97181407657,16.699306373670726,0.1,ps1__r,inf,0.0
119,44244.97181407657,15.985181119940206,0.1,2massh,inf,0.0
120,44245.07181407657,17.39053980247444,0.1,ps1__g,inf,0.0
121,44245.07181407657,16.950408786900862,0.1,ps1__r,inf,0.0
122,44245.07181407657,14.778521263013381,0.1,ps1__i,inf,0.0
123,44245.07181407657,15.97120212531618,0.1,2massh,inf,0.0
124,44245.07181407657,15.65680682075773,0.1,ps1__z,inf,0.0
125,44245.07181407657,18.714741580035895,0.1,sdssu,inf,0.0
126,44245.171814076566,15.867044268173531,0.1,2massh,inf,0.0
127,44245.171814076566,16.616537970702762,0.1,ps1__r,inf,0.0
128,44245.171814076566,15.833875966588026,0.1,ps1__z,inf,0.0
129,44245.171814076566,18.873161261560117,0.1,sdssu,inf,0.0
130,44245.171814076566,17.33892364112192,0.1,ps1__g,inf,0.0
131,44245.171814076566,14.88745251424915,0.1,ps1__i,inf,0.0
132,44245.27181407657,14.828332006993113,0.1,ps1__i,inf,0.0
133,44245.27181407657,16.025792984616462,0.1,ps1__z,inf,0.0
134,44245.27181407657,17.492192938727285,0.1,ps1__g,inf,0.0
135,44245.27181407657,16.966446470847632,0.1,ps1__r,inf,0.0
136,44245.27181407657,15.910786390499172,0.1,2massh,inf,0.0
137,44245.27181407657,18.930589757940247,0.1,sdssu,inf,0.0
138,44245.37181407657,16.121417265619893,0.1,2massh,inf,0.0
139,44245.37181407657,15.113429855395788,0.1,ps1__i,inf,0.0
140,44245.37181407657,16.046248030047177,0.1,ps1__z,inf,0.0
141,44245.37181407657,18.68280289036965,0.1,sdssu,inf,0.0
142,44245.37181407657,17.46059106118728,0.1,ps1__g,inf,0.0
143,44245.37181407657,16.811585679248246,0.1,ps1__r,inf,0.0
144,44245.47181407657,16.99686992707447,0.1,ps1__r,inf,0.0
145,44245.47181407657,16.14970419165073,0.1,ps1__z,inf,0.0
146,44245.47181407657,16.075749542857938,0.1,2massh,inf,0.0
147,44245.47181407657,15.248120431832875,0.1,ps1__i,inf,0.0
148,44245.47181407657,17.665014317644808,0.1,ps1__g,inf,0.0
149,44245.47181407657,18.70217848463526,0.1,sdssu,inf,0.0
150,44245.57181407657,15.967716463420293,0.1,2massh,inf,0.0
151,44245.57181407657,16.014574017170208,0.1,ps1__z,inf,0.0
152,44245.57181407657,15.499072769144915,0.1,ps1__i,inf,0.0
153,44245.57181407657,17.850516184088672,0.1,ps1__g,inf,0.0
154,44245.57181407657,18.897480410543086,0.1,sdssu,inf,0.0
155,44245.57181407657,17.25381612878566,0.1,ps1__r,inf,0.0
156,44245.671814076566,17.845073902087776,0.1,ps1__g,inf,0.0
157,44245.671814076566,18.910729833161366,0.1,sdssu,inf,0.0
158,44245.671814076566,17.258642659933564,0.1,ps1__r,inf,0.0
159,44245.671814076566,15.954460875793298,0.1,2massh,inf,0.0
160,44245.671814076566,15.446800197487466,0.1,ps1__i,inf,0.0
161,44245.671814076566,16.04091019555244,0.1,ps1__z,inf,0.0
162,44245.77181407657,15.676848362268732,0.1,ps1__i,inf,0.0
163,44245.77181407657,17.238091549588354,0.1,ps1__r,inf,0.0
