

    0.297850150065708424E-95    0.440188994363338338E+03   -0.946136723458766937E+01    0.157026958265960331E+00   -0.269731086242198970E+01   -0.109955286026000998E+01    0.325735470056533805E+00    0.615101397037506117E-01    0.336789596080780018E+00    0.362766194343566939E+00    0.413162291049957275E+00    0.162063976526260376E+03
    0.234113710002744601E-93    0.431456314882151560E+03   -0.748507459461688995E+01    0.119278241468957366E+00   -0.381879602038860311E+01   -0.267004037380218495E+01    0.284168450832366914E+00    0.914202094078064020E-01    0.335570573806762695E+00    0.202589011192321783E+00    0.936548709869384766E+00    0.503691518306732178E+02
    0.463178886792675061E-92    0.425482625633123519E+03   -0.166387476027011871E+01    0.145269750158478894E+01   -0.354922752726078050E+01   -0.109122331619262702E+01    0.155974103212356552E+00    0.131508725881576527E+00    0.176453292369842529E+00    0.291048777103424083E+00    0.430605447292327859E+00    0.553835380077362061E+02
    0.146480710847649725E-90    0.418570818192767888E+03   -0.265445375442504883E+01    0.158517215358292829E+00   -0.387419605231285091E+01   -0.295205728054046634E+01    0.311357659697532596E+00    0.758830606937408447E-01    0.174339568614959695E+00    0.305379784107208285E+00    0.762245732545852706E+00    0.158949690461158752E+03
    0.193172570824440291E-90    0.418013531571724798E+03   -0.676378902792930603E+01    0.153378098838604715E+01   -0.274067063939571387E+01   -0.314910254478454599E+01    0.301975008845329240E+00    0.142959207296371460E+00    0.280138444900512651E+00    0.320887398719787609E+00    0.136444564461708073E+01    0.171327209472656250E+03
    0.324021416161063479E-87    0.403159663415501541E+03   -0.870732250809669495E+01    0.124260879589549211E+01   -0.305560907614231114E+01   -0.138812551021575947E+01    0.154648573398590089E+00    0.106434679031372076E+00    0.151105475425720198E+00    0.304660165309906028E+00    0.620606106519699052E+00    0.145816462039947510E+03
    0.126986926766358802E-86    0.400424037920629416E+03   -0.317024169862270355E+01    0.127857916606864874E+01   -0.347206864750385291E+01   -0.381228754043579121E+01    0.262474508285522434E+00    0.913674592971801813E-01    0.176877772808074929E+00    0.258831918239593506E+00    0.117522084116935743E+01    0.131412785649299622E+03
    0.550712076236102924E-85    0.392880705519443381E+03   -0.970083977282047272E+01    0.755609780740314263E+00   -0.387324837934970834E+01   -0.258205751419067386E+01    0.188329903483390793E+00    0.137458688020706155E+00    0.241039347648620589E+00    0.257409548759460483E+00    0.952080309391021729E+00    0.578296786546707153E+02
    0.565634987441639114E-84    0.388218155389970775E+03   -0.643742713332176208E+01    0.799224120241189717E+00   -0.328593429195880882E+01   -0.201522100925445535E+01    0.152117262482643123E+00    0.988324344158172663E-01    0.244545316696166970E+00    0.246628713607788097E+00    0.646496289968490623E+00    0.155635859966278076E+03
    0.222138782725631908E-83    0.385478372229366414E+03   -0.932738128304481506E+01    0.765727743496932733E+00   -0.233614984977245310E+01   -0.328211361885070829E+01    0.253943615555763225E+00    0.958258688449859508E-01    0.288499128818511918E+00    0.390574109554290783E+00    0.137332203984260581E+01    0.140104848146438599E+03
    0.647312780801270615E-82    0.378730241241012834E+03   -0.262606364488601685E+01    0.111151747923310795E+01   -0.327044169640541060E+01   -0.386691921234130875E+01    0.210160566568374618E+00    0.100847643613815305E+00    0.204657554626464844E+00    0.324023914337158214E+00    0.885766446590423584E+00    0.444867247343063354E+02
    0.458246334652948317E-81    0.374812010249088416E+03   -0.725648981332778931E+01    0.152486584857754681E+01   -0.236766492080688451E+01   -0.386135893821716314E+01    0.266565623283386177E+00    0.911872208118438693E-01    0.335903453826904286E+00    0.349724280834198042E+00    0.143257547020912179E+01    0.178625620603561401E+03
    0.109778535197328555E-79    0.368455647363420326E+03   -0.452019396424293518E+01    0.119042891889702718E+01   -0.272888028836250296E+01   -0.362168094158172593E+01    0.298523353338241537E+00    0.692637085914611789E-01    0.157614874839782704E+00    0.339205467700958274E+00    0.112635576725006104E+01    0.409905296564102173E+02
    0.351529845322826944E-79    0.366124081921130141E+03   -0.135693532228469849E+01    0.106820555415757856E+01   -0.173627929663658165E+01   -0.126420426845550526E+01    0.299692448973655656E+00    0.897981286048889216E-01    0.315544712543487538E+00    0.383325660228729270E+00    0.374506455659866344E+00    0.585392957925796509E+02
    0.364087729684858850E-79    0.366049975194907859E+03   -0.228174087405204773E+01    0.154203924286692273E+00   -0.342958465993404404E+01   -0.248315607070922884E+01    0.131395854949951152E+00    0.134446769952774048E+00    0.164037299156188948E+00    0.281061816215515181E+00    0.538543224334716797E+00    0.195773066878318787E+03
    0.227340639966329983E-78    0.362382789448803180E+03   -0.759634532034397125E+01    0.107289372676449979E+01   -0.369868775928020455E+01   -0.287536064147949233E+01    0.270648704767227133E+00    0.814448833465576116E-01    0.168744003772735573E+00    0.328518223762512218E+00    0.124877747297287001E+01    0.964300310611724854E+02
    0.208047866494751012E-77    0.357951075670152136E+03   -0.407520113885402679E+01    0.156890272563309319E+01   -0.274883995664119718E+01   -0.318086057186126725E+01    0.246736114025115943E+00    0.100484156608581537E+00    0.198238396644592280E+00    0.313630449771881148E+00    0.120129078626632690E+01    0.166964876055717468E+03
    0.269162853415356799E-76    0.352826902396472576E+03   -0.713240192830562592E+01    0.192789102531386286E+00   -0.207484153342246991E+01   -0.352268948554992667E+01    0.182269206643104531E+00    0.103801840543746943E+00    0.302914023399353027E+00    0.287376081943511996E+00    0.103988896608352666E+01    0.173618301153182983E+03
    0.196864081468454428E-75    0.348843432061717010E+03   -0.938378433883190155E+01    0.131950426422611367E+01   -0.203188973987102539E+01   -0.278251156806945810E+01    0.247840228676795948E+00    0.128602004051208474E+00    0.206244230270385742E+00    0.230259096622467047E+00    0.135218451619148272E+01    0.152642444372177124E+03
    0.882066253414708929E-72    0.332024508010549255E+03   -0.443943162262439728E+01    0.144818281935872428E+01   -0.389797600209712991E+01   -0.253601578712463382E+01    0.342321276664733887E+00    0.768005549907684326E-01    0.203115248680114741E+00    0.215610909461975114E+00    0.108861982226371778E+01    0.189161759018898010E+03
    0.875389152469260814E-70    0.322825458663111363E+03   -0.537039208412170410E+01    0.147885176166613075E+01   -0.384429972827434518E+01   -0.349333473205566403E+01    0.220714150071144088E+00    0.980948328971862765E-01    0.194744694232940663E+00    0.335945522785186745E+00    0.145103507637977613E+01    0.118630345463752747E+03
    0.348090247940039944E-66    0.306245285176863490E+03   -0.537075297534465790E+01    0.979019139665429083E+00   -0.192668726646900179E+01   -0.198385624885559064E+01    0.231231843233108525E+00    0.855419039726257324E-01    0.335105121135711670E+00    0.285416376590728771E+00    0.313535714149475064E+00    0.989681297540664673E+02
