   -0.133575771402116583E+01    0.565655608007405442E+00   -0.291168557059901367E+01   -0.222290327031451573E+01    0.285608919072793732E+00    0.873205547400090210E-01    0.226675141912760475E+00    0.398996678378604752E+00    0.268135389640896671E+01    0.834984984159458747E+02   -0.135416465137322639E+02
   -0.135972824692726135E+01    0.944665141826382504E+00   -0.380241042840480814E+01   -0.182227449417114240E+01    0.230753245949745167E+00    0.718276441097259466E-01    0.342698466777801469E+00    0.364083349704742432E+00    0.385680645704269409E+00    0.475023710727691650E+02   -0.134913357421149840E+02
   -0.317518355417663756E+01    0.890371732696036311E+00   -0.268417050185223083E+01   -0.716347574291900546E+00    0.215986538983100163E+00    0.102799220561796967E+00    0.207891532994687905E+00    0.291063373273406367E+00    0.145767788199991166E+01    0.416956486897278751E+02   -0.122974519466791428E+02
   -0.972783815911348881E+00    0.111970460867899413E+01   -0.193142915842906682E+01   -0.217006832356670909E+01    0.159492787472066300E+00    0.779499926243274188E-01    0.287623079448845798E+00    0.382030114207655813E+00    0.246665439531146546E+01    0.268814370481536393E+02   -0.121281766086321845E+02
   -0.112296250517669893E+01    0.917963689800843419E+00   -0.249858603424640613E+01   -0.211553710559136610E+01    0.284935243276235761E+00    0.866216081543070143E-01    0.317619354506184892E+00    0.268108982955933162E+00    0.287704334729175804E+01    0.111052461009021485E+03   -0.120306939215943007E+02
   -0.852134447058929823E+00    0.407570985994951951E+00   -0.271834736381447684E+01   -0.153110464820494796E+01    0.159566866549770814E+00    0.118806327547153104E+00    0.232281045089415716E+00    0.275204737881498684E+00    0.134412473659281151E+01    0.160330047421311974E+03   -0.119177547746526624E+02
   -0.262358220658771391E+01    0.128975698579358178E+01   -0.318626657257126666E+01   -0.109356904334054139E+01    0.289451103956912814E+00    0.533820337762351896E-01    0.213681258026919618E+00    0.352846894782639309E+00    0.219454278569569539E+01    0.658365879080488270E+02   -0.118712830719911118E+02
   -0.258030179173199503E+01    0.283406553325639243E+00   -0.209418852897279795E+01   -0.182324232189527580E+01    0.227453244932803611E+00    0.529343652966774714E-01    0.326167820418058141E+00    0.291966925743368244E+00    0.276945762106606752E+01    0.141884011549503015E+03   -0.115928494604239081E+02
   -0.203439005449500598E+01    0.353604822861568191E+00   -0.174182945243869858E+01   -0.244863492044733277E+01    0.258392952748240035E+00    0.139370222938805383E+00    0.236805615599358588E+00    0.367223315522260840E+00    0.228437865954868524E+01    0.174074928759001963E+02   -0.115342556142205375E+02
   -0.662782041231460894E+00    0.150080056770443870E+01   -0.233636331801118979E+01   -0.840949812159104582E+00    0.191829822765934799E+00    0.105184614814299679E+00    0.322952373626456513E+00    0.366273641746316769E+00    0.271119116022345974E+01    0.566552532981308019E+02   -0.112463482376462309E+02
   -0.317997503280639648E+01    0.340769469021915572E+00   -0.134982459831237778E+01   -0.107879215240478521E+01    0.185493469834327684E+00    0.908463895320892334E-01    0.151490700244903548E+00    0.328753364086151134E+00    0.176074749827384958E+01    0.868843328952789307E+02   -0.111611464181531925E+02
   -0.299860285403817706E+01    0.646072198720071156E+00   -0.141244610408717497E+01   -0.189555338532843365E+01    0.318672578718361743E+00    0.642965484216660443E-01    0.304943076751060915E+00    0.351964597720155203E+00    0.295537626022890088E+01    0.660086897575551319E+02   -0.111505837803133758E+02
   -0.409494068120345123E+01    0.754355735721588649E+00   -0.183402908748979909E+01   -0.102747193342148124E+01    0.157623601785941814E+00    0.757586176544541162E-01    0.307369893142119377E+00    0.264790240612115479E+00    0.172475646079964995E+01    0.857198034575355763E+02   -0.111487030665951963E+02
   -0.535820664255280299E+00    0.125507310254636884E+01   -0.343511966531957569E+01   -0.673569922052533521E+00    0.253585321349404369E+00    0.105595511363694466E+00    0.333988334923860264E+00    0.240101685246668861E+00    0.243643242558369977E+01    0.458460796320501984E+02   -0.110796515859927673E+02
   -0.310434575422608994E+01    0.526580075393934699E+00   -0.275957333751292833E+01   -0.129121063450074791E+01    0.332562862357877909E+00    0.782977153979975693E-01    0.249666731241941386E+00    0.303220093776703614E+00    0.265660403745266693E+01    0.685743651290506904E+02   -0.110696520726388172E+02
   -0.397569579462558131E+01    0.632826696065357353E+00   -0.139423496468025476E+01   -0.859289126175969198E+00    0.157785402117812334E+00    0.776228270388422265E-01    0.343632899514307311E+00    0.225239635224482149E+00    0.292252187621336645E+01    0.996227956808717607E+02   -0.110456372748233846E+02
   -0.281064888834953308E+01    0.105829825160437441E+01   -0.131695644390583055E+01   -0.278956473827362039E+01    0.139710322618484484E+00    0.735550045967102023E-01    0.255521988868713357E+00    0.350657916069030795E+00    0.163139442801475543E+01    0.786903840303421021E+02   -0.110302443031768647E+02
   -0.101990244510871442E+01    0.761602873197346542E+00   -0.343703796935142014E+01   -0.266216665061866964E+01    0.191110879493721852E+00    0.110264253200117346E+00    0.328115869291504880E+00    0.325158507413005338E+00    0.840795107535246000E+00    0.731765768458610069E+02   -0.109910774179123507E+02
