

    0.111089905928690569E-98    0.813429787711063796E+03    0.570904004573822021E+02   -0.249396872520446777E+01   -0.264244350790977478E+01    0.386085440979016425E+00    0.366667819023132324E+02    0.116780400276184082E-01
    0.112109038104695417E-98    0.813411035198986042E+03    0.514028441905975342E+02   -0.278780019283294678E+01   -0.871490865945816040E+00    0.331789096309547893E+00    0.383857250213623047E+02    0.895832300186157227E+00
    0.130928480928500107E-98    0.813100188368130375E+03    0.459500670433044434E+02   -0.275791049003601074E+01   -0.228253278136253357E+01    0.348395600906502623E+00    0.372891205549240112E+02   -0.939687371253967285E+00
    0.150461956101538934E-98    0.812821582003183835E+03    0.438272023200988770E+02   -0.147660255432128906E+01   -0.276225003600120544E+01    0.340457786134004903E+00    0.416097599267959595E+02   -0.756356239318847656E+00
    0.206474705714758556E-98    0.812188158430818589E+03    0.624969792366027832E+02   -0.280366146564483643E+01   -0.247144612669944763E+01    0.366042921856974290E+00    0.354954719543457031E+02    0.533403098583221436E+00
    0.229014096756590549E-98    0.811980458859297642E+03    0.736911356449127197E+02   -0.113466238975524902E+01   -0.277700307965278625E+01    0.351289930862225763E+00    0.441115140914916992E+02   -0.524707436561584473E+00
    0.257965009330467660E-98    0.811741889791197309E+03    0.411258172988891602E+02   -0.280004060268402100E+01   -0.634761631488800049E+00    0.369785364932522287E+00    0.394315648078918457E+02    0.759091675281524658E+00
    0.304276730635308150E-98    0.811411174244938138E+03    0.464040756225585938E+02   -0.270701384544372559E+01   -0.878290414810180664E+00    0.356537384620035536E+00    0.391411572694778442E+02    0.872745990753173828E+00
    0.359844028932761041E-98    0.811075219765436145E+03    0.553833281993865967E+02   -0.101412487030029297E+01   -0.265170502662658691E+01    0.382153591150749872E+00    0.436832445859909058E+02   -0.133095210790634155E+01
    0.369048800829282980E-98    0.811024215079663009E+03    0.295971107482910156E+02   -0.109238147735595703E+01   -0.279749605059623718E+01    0.367883609985491966E+00    0.403988808393478394E+02   -0.115068173408508301E+01
    0.377188051954330979E-98    0.810980096822879318E+03    0.675937163829803467E+02   -0.225277709960937500E+01   -0.216261479258537292E+01    0.393767427856316021E+00    0.403860634565353394E+02    0.745706200599670410E+00
    0.425396019555777071E-98    0.810739055199339191E+03    0.484489166736602783E+02   -0.195318067073822021E+01   -0.281586024165153503E+01    0.410989312705632825E+00    0.388056635856628418E+02   -0.284295678138732910E-01
    0.460984095837834565E-98    0.810577880923376142E+03    0.357457816600799561E+02   -0.206539165973663330E+01   -0.226920920610427856E+01    0.328082475430822140E+00    0.425879222154617310E+02   -0.174652820825576782E+01
    0.567608848331630482E-98    0.810161254660012332E+03    0.502086997032165527E+02   -0.161681687831878662E+01   -0.265327084064483643E+01    0.345186787976627996E+00    0.405624377727508545E+02   -0.973019003868103027E+00
