

    0.100887295513907514E-98    0.695729555859783659E+03    0.146492123180787729E+03    0.467315483102889075E+02    0.739477517278095942E+01    0.812163859852908621E+00   -0.104662190030994307E+00   -0.178625142871769960E+01   -0.173485548455963845E+01
    0.104046882506354247E-98    0.695666904131045840E+03    0.613850278387808359E+02    0.558825605704019210E+02    0.358830361900804746E+02    0.995625877279650795E+00   -0.620030811705192031E+00   -0.266066425923806982E+01   -0.213023344047820062E+01
    0.107711749128757331E-98    0.695596693411389992E+03    0.564698632179616880E+02    0.226866498837000101E+02    0.664048058100405996E+02    0.590741318162610329E+00   -0.126809280135655023E+01   -0.215111561663634188E+01   -0.201365372383378283E+01
    0.120011511934861977E-98    0.695379458845893055E+03    0.118267562613364859E+03    0.254426324686032430E+02    0.766736205535556223E+02    0.643249071705831454E+00   -0.292173143486376352E+00   -0.126019354097158498E+01   -0.148721397501905472E+01
    0.132724070622377015E-98    0.695177112993005380E+03    0.210597149596117077E+03    0.321829121847255664E+02    0.516715700423389706E+02    0.757877069008608628E+00   -0.170744355230884359E+01   -0.240307329221657628E+01   -0.142370550277458574E+01
    0.136049440039141608E-98    0.695126644364086246E+03    0.316136272622505601E+03    0.546908553783370124E+02    0.784394849222245938E+02    0.981703576384587828E+00   -0.138621652191486699E+00   -0.192792849853869264E+01   -0.120433685954204317E+01
    0.166215470408833521E-98    0.694725134577985386E+03    0.359999686479568481E+03    0.311462616920471191E+02    0.182131648063659668E+02    0.151992888927547831E+01   -0.126109564304351807E+01   -0.248530507087707520E+01   -0.107864949107170105E+01
    0.179083015682358416E-98    0.694575028991650925E+03    0.461481368816238103E+03    0.325690442104024669E+02    0.527308706523642883E+02    0.100927585797635277E+01   -0.159797544062134111E+01   -0.138109594399295532E+01   -0.600346086064977857E+00
    0.180116400983178339E-98    0.694562544747302354E+03    0.843986757316810525E+02    0.466359024628537640E+02    0.385746121697274944E+02    0.122154166460590363E+01   -0.887088302597343503E+00   -0.170950824682003377E+01   -0.196302818632989862E+01
    0.184166929203289230E-98    0.694517089672313432E+03    0.676110386848449707E+02    0.687040650844573975E+02    0.775331515073776245E+02    0.146763533734969931E+01   -0.233533620834350586E+00   -0.189602768421173096E+01   -0.183683979511260986E+01
    0.202375685467074703E-98    0.694327546652124511E+03    0.200730889382854230E+03    0.318223161339975356E+02    0.488225647314532125E+02    0.932984418972299001E+00   -0.130511272723905636E+01   -0.224645951462172500E+01   -0.154016579437939827E+01
    0.221059457492880108E-98    0.694149958280309875E+03    0.892608921701421849E+02    0.154665456062187623E+02    0.758508830577190309E+02    0.755428431961158720E+00   -0.785945871214340785E+00   -0.155399220556720419E+01   -0.236701326703498616E+01
    0.228883771483530410E-98    0.694079416472132948E+03    0.292701769840124598E+03    0.629796483296111091E+02    0.214252829299143848E+02    0.143018284434560150E+01   -0.149244696005359234E+01   -0.215740234136974252E+01   -0.985632616221123303E+00
    0.231369081514566160E-98    0.694056840180949848E+03    0.471012062406568361E+03    0.379370012549860860E+02    0.294607363563060147E+02    0.601538916613383434E+00   -0.135715899098872961E+01   -0.139711344851503050E+01   -0.104891306749648727E+01
    0.232793814469011371E-98    0.694043585709627450E+03    0.392963778723426060E+03    0.366851333990658404E+02    0.255866260114639452E+02    0.135268334149582548E+01   -0.599686067960610414E+00   -0.255458224249962562E+01   -0.111069391729401401E+01
    0.244278750927409542E-98    0.693946295447716238E+03    0.472541667223687796E+03    0.387573563116695539E+02    0.146609957241814044E+02    0.732670776040663441E+00   -0.146957404619756682E+01   -0.165175799045825289E+01   -0.112012274147897117E+01
    0.281583878584587333E-98    0.693661078128734289E+03    0.303424872012585297E+03    0.601430176480236298E+02    0.352281799154945361E+02    0.145948839194816649E+01   -0.173098106308799515E+00   -0.208273683554892486E+01   -0.143997943799875028E+01
    0.296711043063430111E-98    0.693555444820372486E+03    0.101181794914082275E+03    0.386963386155086724E+02    0.668340743510690629E+02    0.687394197426071218E+00   -0.630846536702109884E-01   -0.128401683923913024E+01   -0.250999261574615229E+01
    0.316927797115027147E-98    0.693422637793174090E+03    0.278242137626790282E+03    0.566796453626261467E+02    0.304550093427947353E+02    0.885791769139181007E+00   -0.184492890997781744E+01   -0.249055468765774801E+01   -0.116830677765001933E+01
    0.375279560653941561E-98    0.693083666701227230E+03    0.978893525700502209E+02    0.455310305838850056E+02    0.692909601829478135E+02    0.583506606336178013E+00   -0.869667241565250881E+00   -0.277930760980238212E+01   -0.189003696818301470E+01
    0.379451444691470478E-98    0.693060579338989555E+03    0.473385153871650061E+03    0.377730835292632889E+02    0.211761626636880393E+02    0.721711843890889493E+00   -0.155468444351637802E+01   -0.145165960192942989E+01   -0.756433362307914248E+00
    0.379692885009749828E-98    0.693058330605615083E+03    0.290142904684091036E+03    0.696664232334483984E+02    0.473344383295644491E+02    0.133312981552407539E+01   -0.122155434000307039E+00   -0.182582151127656123E+01   -0.916040380385822139E+00
    0.394389568931264231E-98    0.692981401151464070E+03    0.101942479610443115E+03    0.390997409820556641E+02    0.655336242914199829E+02    0.820458102288966207E+00   -0.195105719566345215E+01   -0.296829676628112793E+01   -0.165696787834167480E+01
    0.419908662254896509E-98    0.692855028504224379E+03    0.174793121847405871E+03    0.497465763975753532E+02    0.698726153807858026E+02    0.127693691843347423E+01   -0.108402457096804605E+01   -0.215601647969188370E+01   -0.113300067738622179E+01
    0.439557505416090862E-98    0.692762589272578452E+03    0.235062009636167005E+03    0.594699219031635238E+02    0.867559508714234262E+01    0.101500638345372995E+01   -0.108608018932324590E+01   -0.251409418083987557E+01   -0.149144693084532887E+01
    0.536560993641838090E-98    0.692362789325506924E+03    0.301132500171661377E+03    0.319046938419342041E+02    0.511352419853210449E+00    0.102451164410488516E+01   -0.166061055660247803E+01   -0.148200905323028564E+01   -0.135677713155746460E+01
    0.544222352816839306E-98    0.692333457450052720E+03    0.299896689997314070E+03    0.417971953581750100E+02    0.524083508192542098E+02    0.646452120893065585E+00   -0.171215792632287611E+01   -0.183178269530114801E+01   -0.880185076986495840E+00
    0.621414019496374242E-98    0.692067201572133854E+03    0.421431536485474510E+03    0.554223788539021527E+02    0.187840228214846157E+02    0.127869425835296990E+01   -0.363478882113172030E+00   -0.253395309756424236E+01   -0.126601093314157565E+01
    0.674720505623625114E-98    0.691901623046573945E+03    0.121023692081435584E+03    0.383460278538691881E+02    0.335820837356973823E+00    0.442336471853247204E+00   -0.580483322390802359E+00   -0.164733866692989306E+01   -0.228507440063682665E+01
    0.705675644224968550E-98    0.691810932153874205E+03    0.359451711177825928E+03    0.711571741104125977E+02    0.291602897644042969E+02    0.842649853735445098E+00   -0.188448631763458252E+01   -0.176524198055267334E+01   -0.702610343694686890E+00
    0.728980302653176843E-98    0.691744973576408597E+03    0.683971345424652100E+02    0.655195713043212891E+02    0.360511744022369385E+02    0.153565211218309461E+00   -0.149918317794799805E+00   -0.282904660701751709E+01   -0.234901311993598938E+01
    0.739699798552990629E-98    0.691714801585320174E+03    0.314031470914106706E+03    0.300059587615942434E+02    0.241148745596308132E+02    0.715360396701478662E+00   -0.167160728601551067E+01   -0.254641674378387295E+01   -0.121483830371061896E+01
    0.797135375138706480E-98    0.691564264834837104E+03    0.338201050296130234E+03    0.469369587629787333E+02    0.555475817181032951E+02    0.152578318467205776E+01   -0.138986111483286212E+00   -0.285115984638662656E+01   -0.133888434325715711E+01
    0.798137325936764751E-98    0.691560775972266697E+03    0.133904695510864258E+03    0.493633890151977539E+02    0.571857959032058716E+02    0.390904871481765726E+00   -0.178943729400634766E+01   -0.210108721256256104E+01   -0.148650842905044556E+01
    0.852282494577913646E-98    0.691428524673777019E+03    0.963837925343825930E+02    0.562249175832356016E+02    0.115047298374006157E+02    0.119155393208125160E+01   -0.140995387079196011E+00   -0.212721732804180919E+01   -0.242597672868642977E+01
    0.904025768792355444E-98    0.691309668457261068E+03    0.430180606064109895E+03    0.240872090959350942E+02    0.415350717855873981E+02    0.740576652653257339E+00   -0.491651817569030980E+00   -0.127290285919756596E+01   -0.785741623140362222E+00
    0.970414068302184920E-98    0.691166961915433831E+03    0.208361221497115309E+03    0.552662006700870023E+02    0.692761273825554014E+02    0.101335306997731900E+01   -0.187543541087157628E+01   -0.252734672739859700E+01   -0.120644117472047974E+01
    0.990101117819149578E-98    0.691125816908587353E+03    0.634543478665953700E+02    0.547020472382462088E+02    0.790567021352596555E+02    0.428708495598499328E+00   -0.326985758767208701E+00   -0.220525453899011570E+01   -0.231530052036003520E+01
    0.103742069988463027E-97    0.691031468869660671E+03    0.127127349376678467E+03    0.527924644947052002E+02    0.413924664258956909E+02    0.116304988124289621E+01   -0.101672470569610596E+01   -0.100162696838378906E+01   -0.198888498544692993E+01
    0.107228434651800014E-97    0.690964384827683489E+03    0.867437720298767090E+02    0.503969228267669678E+02    0.500224417448043823E+02    0.148816598893604346E+01   -0.939074754714965820E-01   -0.200132739543914795E+01   -0.219700130820274353E+01
    0.122234891029396548E-97    0.690701442129436487E+03    0.379421203545242008E+03    0.358077025421713842E+02    0.463414147222626127E+02    0.145277072051868794E+01   -0.239449708682299089E+00   -0.281136614759690451E+01   -0.119588530862215836E+01
    0.122890761083769808E-97    0.690689762947869553E+03    0.775219103540182175E+02    0.592995447097778907E+02    0.161563010119645014E+02    0.119436915495948859E+01   -0.534508211957184454E+00   -0.249487235489259840E+01   -0.239480880115899897E+01
    0.123025361665312921E-97    0.690686597011310141E+03    0.989316403865814209E+02    0.491673874855041504E+02    0.332826358079910278E+02    0.107601595252525684E+01   -0.260515928268432617E+00   -0.176735293865203857E+01   -0.209425720572471619E+01
    0.127738169204914819E-97    0.690610436270183641E+03    0.177188992550560158E+03    0.431720646379216078E+02    0.794081307014415643E+02    0.102750403956083858E+01   -0.142000662715438564E+01   -0.243227265984377494E+01   -0.119879232402476421E+01
    0.139571269212523382E-97    0.690432274216919950E+03    0.989927649497985840E+02    0.431113135814666748E+02    0.615543097257614136E+02    0.949455873635918657E+00   -0.568354129791259766E-02   -0.111083650588989258E+01   -0.250697556138038635E+01
    0.146426211075155442E-97    0.690335405131046286E+03    0.304460667451740278E+03    0.462851695954655113E+02    0.661907502278374977E+02    0.126636426257989498E+01   -0.132907077949665720E+00   -0.259560297717620525E+01   -0.138690094043921075E+01
    0.168374961749736182E-97    0.690055084999232463E+03    0.816623766137345086E+02    0.651286511342601671E+02    0.300340271924124664E+02    0.103761314883871281E+01   -0.161301078558117172E+01   -0.184607040522000831E+01   -0.169312879669286720E+01
    0.169216521069468113E-97    0.690044137082527413E+03    0.418649437394982272E+03    0.493570160264905766E+02    0.275774674678303633E+02    0.548897251378755224E+00   -0.149530166815520893E+01   -0.147058361712345320E+01   -0.692634382748425814E+00
    0.226893151746412217E-97    0.689456560270314867E+03    0.693581291285711927E+02    0.224278161705274783E+02    0.219360983201148336E+02    0.137310766499274695E+01   -0.147392398918738543E+01   -0.249037230785965180E+01   -0.193947060688566597E+01
    0.241815219043673187E-97    0.689328194373192787E+03    0.235372271132094141E+03    0.248463661293119600E+02    0.107595562129719955E+02    0.307705594878235345E+00   -0.194718578963593258E+01   -0.266769610385342748E+01   -0.120393783603606153E+01
    0.246346082675299988E-97    0.689290090789540386E+03    0.115936760133679869E+03    0.675203226850572662E+02    0.754031837654773938E+02    0.147935439473804053E+01   -0.135664065329500083E+01   -0.243579295942794616E+01   -0.147209935784403601E+01
    0.260006764129048823E-97    0.689181173708731194E+03    0.390612637005787633E+03    0.351343791309033122E+02    0.224796852419878235E+02    0.501770405835370359E+00   -0.249852241524470386E+00   -0.138606528857427280E+01   -0.148943586577975529E+01
    0.277553767274022017E-97    0.689049583098626158E+03    0.289338231463650516E+03    0.364856466632866159E+02    0.531492828227846488E+02    0.882436118556675697E+00   -0.102941255450925295E+01   -0.255070190104043260E+01   -0.112647376909625829E+01
    0.364702000865037939E-97    0.688502474708585623E+03    0.295067835616188688E+03    0.343150291787198398E+02    0.296972949512576783E+02    0.650737681780345523E+00   -0.819624815973245768E+00   -0.297862270291201980E+01   -0.141648461799105907E+01
    0.408662753030047226E-97    0.688273878811980126E+03    0.954228881641068654E+02    0.365673368453816252E+02    0.138742736653167977E+02    0.127275193392074959E+01   -0.135439018619669715E+01   -0.193512810427217530E+01   -0.200281136757196121E+01
    0.428879228021841211E-97    0.688176332032784785E+03    0.962079465389251709E+02    0.741501152515411377E+02    0.107311159372329712E+02    0.310917789306545456E+00   -0.159640789031982422E+00   -0.171249425411224365E+01   -0.231322678923606873E+01
    0.438552024410096019E-97    0.688130749296285217E+03    0.350045708598206204E+03    0.603412100999263217E+02    0.145447086589001806E+02    0.103495017384147325E+01   -0.143125857099368714E+01   -0.247518170457156916E+01   -0.111038205951742652E+01
    0.500990234032082084E-97    0.687863556410957585E+03    0.123222965378181343E+03    0.552466892971574310E+02    0.794892966594132844E+02    0.135356720061112035E+01   -0.124042863168596096E+01   -0.284351332557346259E+01   -0.164554434209972023E+01
    0.533360464928625828E-97    0.687737358084333437E+03    0.315986632017578188E+03    0.240675466290833882E+02    0.212965830851401883E+02    0.145559270508430005E+01   -0.467949059833211667E+00   -0.273137029505641848E+01   -0.146640190812816695E+01
    0.589048297169654188E-97    0.687537760144086974E+03    0.441960272942592383E+03    0.623777410407882513E+02    0.231207534159216621E+02    0.146298757074591834E+01   -0.134658963179307145E+01   -0.158634028892996803E+01   -0.729947205437183833E+00
    0.589796605713033463E-97    0.687534244456577312E+03    0.398148505329996510E+03    0.292980369387633814E+02    0.461312280140513735E+02    0.142203506725670303E+01   -0.524183892857731148E+00   -0.151557647274519414E+01   -0.916098866202315065E+00
    0.613572906064464397E-97    0.687454225190084685E+03    0.390609788070063132E+03    0.384356159734337837E+02    0.589896307825030988E+02    0.786695958618606306E+00   -0.148490359359040358E+01   -0.172933349112709145E+01   -0.795720260211467689E+00
    0.632767215260148048E-97    0.687391641602139430E+03    0.920953868636089510E+02    0.288012139580623980E+02    0.185507040810160895E+02    0.434485544314918370E+00   -0.658272232131626778E+00   -0.181696003325464228E+01   -0.222777698159050086E+01
    0.766658539256821004E-97    0.687006787227400196E+03    0.600957683384017614E+02    0.517934497418165094E+02    0.810154849613455212E+02    0.994858062013537547E+00   -0.440548453222651792E+00   -0.267244842074478406E+01   -0.218345823517240145E+01
    0.840803894436533496E-97    0.686821176786597903E+03    0.654543744215227008E+02    0.155675871477813708E+02    0.828823790848934721E+02    0.146371040264194296E+01   -0.171906548686103156E+01   -0.157528549830505016E+01   -0.181924354619153017E+01
    0.897512199673407716E-97    0.686689663700405504E+03    0.128672738366195631E+03    0.668437010708195487E+02    0.126762159089587509E+02    0.106810108281624627E+01   -0.950991157345120630E+00   -0.129039714231869018E+01   -0.196067181185342432E+01
