luminosity_distance KNphi KNtheta inclination_EM timeshift log10_mej_dyn log10_mej_wind Ebv log_likelihood log_prior
145.06474357202342 29.751590888993327 12.003340860932404 0.30943382145098947 -0.2283559648679423 -1.5937212595234622 -1.170820179976788 0.0 -123.27657191764233 -18.993515098097344
112.13070067138214 21.34466808601738 56.73989784467243 0.4655739954904308 -0.12398214715872613 -1.6825230272035405 -1.2602226763229412 0.0 -123.25671061627787 -18.605370041423786
115.77681697993081 23.52367086537535 27.520910689309503 1.050628259309997 -0.2337655789575166 -1.29807664549246 -1.239440031036225 0.0 -121.56570788723207 -17.94636275667665
115.57026151127204 32.928296250063084 16.132517197660253 0.5758578238346821 -0.025835365059073245 -1.4450442364636202 -1.304406100624693 0.0 -121.26464104368611 -18.412281910033215
91.56268027116818 15.1427701431579 70.28510630049584 0.8642554318044637 -0.2389400633762495 -1.2262119723981713 -1.308320261069875 0.0 -120.97050879115783 -18.078126385031183
83.30784539795955 21.033849450425116 75.5228283467781 0.7639280622835112 -0.019836550249916707 -1.3164424286477496 -1.3021336714117757 0.0 -120.946850125841 -18.173006003916598
127.41843355410742 22.21490528684842 1.3220736138090667 0.49916293397789174 -0.11719523584833391 -1.769733236036682 -1.3152431093256072 0.0 -120.79746851559658 -18.541195055766593
144.02030650755034 18.412206922731563 24.301595720572724 1.38120978443153 -0.1944698741097104 -1.3635721537655112 -1.1282112818025714 0.0 -120.76136643657598 -17.82257483494361
136.71942489298632 40.22314650753616 11.345034368601041 0.9978059587812613 -0.08000220232590172 -1.7113366619062371 -1.2559355425661962 0.0 -120.71918393280508 -17.978510530897555
112.3470667419865 20.964967932700354 23.88188512671819 1.0961413995028255 -0.23998641335585136 -1.0590626131188146 -1.2746568007898214 0.0 -120.69321972023617 -17.921646045531464
101.96627450513186 30.03185309988921 39.583314799955026 0.7016149383241385 -0.046094436425137886 -1.32598024800105 -1.3755403691502914 0.0 -120.50133763504661 -18.242299006593967
131.7391365150299 17.855575308584754 24.098922521716794 0.8352939633369182 -0.2289194829907506 -1.4098398742675813 -1.2441446784688301 0.0 -120.46472920717002 -18.103583108580732
114.82295610574698 21.25829487406922 19.90642270645419 0.7159975754048721 -0.18861259653137274 -1.3492353705422262 -1.2896969467185175 0.0 -120.405367663104 -18.22552469168129
118.86603919546296 38.15616007983959 2.4823952743249347 0.9979717460491854 -0.026714009172463582 -1.5917580846128656 -1.3743756715623965 0.0 -120.36121151229125 -17.978403585143976
152.06864023188226 30.91231722663789 18.651302010597146 0.9430238689583642 -0.046789571934041874 -1.6181056287186473 -1.1703175581858947 0.0 -120.30488896749853 -18.01603344259808
138.1985315307135 35.071776757202365 28.282251457010304 1.4313842549866098 -0.10510322773901182 -1.5042151237518873 -1.171717660631188 0.0 -120.29181334480849 -17.814244110484218
