Nested Sampling Global Log-Evidence           :   -0.135046753082825042E+02  +/-    0.115023866393675622E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.135046753082825042E+02 +/-    0.115023866393675622E+00
Local Log-Evidence   -0.135046753082825042E+02 +/-    0.115023866393675622E+00

Dim No.       Mean        Sigma
   1    0.750746415525183153E+02    0.304543472885629782E+02
   2   -0.305449654451537977E+01    0.147820917414415720E+01
   3   -0.134485426806414710E+01    0.606411192520982856E+00
   4   -0.959136834290140849E+00    0.262288611095186919E+00
   5   -0.383701423404923503E+01    0.758664858446881696E+00
   6    0.837131016550163531E+00    0.421598563110821223E+00
   7    0.506700912678427318E+00    0.186930591623798714E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.147603467122708558E+02
   2   -0.335696170975841301E+01
   3   -0.268061832978343295E+01
   4   -0.149769726537524517E+01
   5   -0.505730947549169052E+01
   6    0.136682138242928808E+01
   7    0.312698949553745609E+00

MAP Parameters
Dim No.        Parameter
   1    0.147603467122708558E+02
   2   -0.335696170975841301E+01
   3   -0.268061832978343295E+01
   4   -0.149769726537524517E+01
   5   -0.505730947549169052E+01
   6    0.136682138242928808E+01
   7    0.312698949553745609E+00
