    0.133734202546620029E+01    0.657771196222643351E+00    0.485568600739970952E+04   -0.555474050548143607E-03    0.776336936752482165E+00    0.183454872004104796E+01
    0.129153716080744707E+01    0.702495763008159635E+00    0.452583749849761716E+04   -0.162674844646213724E-03    0.744830083353869021E+00    0.273994683971025399E+01
    0.124559497903572280E+01    0.616101850344239588E+00    0.498472935563635201E+04    0.664951867452584099E-04    0.443797311089463742E+00    0.297346558839540975E+01
    0.128411911940203471E+01    0.544048111616127206E+00    0.468622636227024032E+04   -0.179976129646380558E-03    0.610119222281380047E+00    0.416465406962712414E+01
    0.142746075007781581E+01    0.569609655085093314E+00    0.455281496168810736E+04    0.267201612144279445E-03    0.577958981563513774E+00    0.450111144716387468E+01
    0.126979406669888428E+01    0.671342595490203697E+00    0.412721731850763626E+04    0.183936618569642091E-03    0.453139984077965685E+00    0.452404579666268258E+01
    0.146484020957606220E+01    0.650846117903689292E+00    0.459721842245232074E+04    0.549754830836846758E-03    0.690711376247336473E+00    0.474265908206051989E+01
    0.144195086931746008E+01    0.679273774651969586E+00    0.464956882703972860E+04   -0.610469691439396826E-03    0.906013869874504163E+00    0.489333139121817950E+01
    0.888261430620148729E+00    0.623261710864719709E+00    0.445799094095836790E+04   -0.449597522429673468E-04    0.224630548739503055E+00    0.491901866187961634E+01
    0.128331903104054357E+01    0.606059912325601746E+00    0.485888396355090117E+04    0.233447115671008981E-04    0.540182819936491754E+00    0.497628127247661567E+01
    0.150586862457169701E+01    0.577961322101380737E+00    0.420695506096435201E+04    0.356343771282018680E-03    0.582621076385250625E+00    0.501946497420128068E+01
    0.886207800667092926E+00    0.604807131295831635E+00    0.414608019573444381E+04    0.345693892787796923E-03    0.221743479812974098E+00    0.517553647524781724E+01
    0.116733528066540249E+01    0.707575611024259921E+00    0.459769398730757348E+04    0.236396236946817383E-03    0.259417660793453464E+00    0.527696637254277334E+01
    0.137652974635193970E+01    0.657294437134865239E+00    0.472875367833391101E+04   -0.232857524415039927E-03    0.752369118158658368E+00    0.531104138826892136E+01
    0.136618869911083562E+01    0.569139634205144684E+00    0.420043349372683497E+04    0.316912037292858340E-04    0.573798329193952572E+00    0.535993099611269308E+01
    0.145153543457299072E+01    0.628804800292774080E+00    0.472557613408730231E+04    0.318940856129964210E-03    0.730707132537259496E+00    0.543498656090188170E+01
    0.131090511914557961E+01    0.614105241586165640E+00    0.457120122683514910E+04   -0.636202325062991164E-03    0.630223757562927256E+00    0.544467558725835410E+01
    0.128861646856698320E+01    0.601544938033358401E+00    0.429693334502145080E+04    0.458854138224462727E-04    0.653766188274935822E+00    0.544518307390591261E+01
    0.147167619992215126E+01    0.658135650829829166E+00    0.440572652629351342E+04   -0.109592666820369772E-03    0.789800254964271420E+00    0.547066227640858571E+01
