    0.116048345565795907E+01    0.965940110385417938E+00    0.461660520190000534E+04   -0.174509596996545399E-03    0.381524682044982910E+00    0.695318745283340134-309
    0.115652222633361812E+01    0.748269595205783844E+00    0.430683156484365463E+04   -0.289867012588524598E-04    0.199245274066925049E+00    0.695318745283340134-309
    0.866930198669433660E+00    0.795215345919132233E+00    0.483653369361162186E+04    0.430605858649852908E-03    0.433382987976074219E+00    0.695318745283340134-309
    0.196607663631439200E+01    0.765366271138191223E+00    0.451901824933290482E+04    0.430079131666771006E-03    0.698625147342681885E+00    0.695318745283340134-309
    0.163785886764526367E+01    0.945617601275444031E+00    0.430783938288688660E+04    0.915314938443627032E-04    0.796336293220520020E+00    0.695318745283340134-309
    0.808198761940002508E+00    0.403122082352638245E+00    0.451944599819183350E+04   -0.120041234558426825E-03    0.241871476173400879E-01    0.695318745283340134-309
    0.197828962802886954E+01    0.720456823706626892E+00    0.393124064308404922E+04    0.114051513927097015E-03    0.487270295619964600E+00    0.695318745283340134-309
    0.935066032409668013E+00    0.295498311519622803E+00    0.489030038380622864E+04   -0.319577216828664269E-03    0.527081072330474854E+00    0.695318745283340134-309
    0.185955624580383305E+01    0.382016010582447052E+00    0.498473481237888336E+04    0.190571573456260039E-04    0.533877730369567871E+00    0.695318745283340134-309
    0.130862329006195077E+01    0.434729322791099548E+00    0.484386772352457047E+04    0.342149783467657538E-03    0.651670098304748535E-01    0.695318745283340134-309
    0.111857204437255864E+01    0.793782152235507965E+00    0.439596727305650711E+04   -0.597113571710321364E-03    0.268386900424957275E+00    0.695318745283340134-309
    0.139322273731231694E+01    0.742771513760089874E+00    0.425965638023614883E+04    0.152414934257969810E-03    0.100430846214294434E-01    0.695318745283340134-309
    0.127938177585601798E+01    0.910550981760025024E+00    0.451990415149927139E+04    0.273861714373051571E-03    0.213784396648406982E+00    0.695318745283340134-309
    0.125040683746337900E+01    0.286210663616657257E+00    0.486940060436725616E+04    0.273567683267913011E-03    0.284336268901824951E+00    0.695318745283340134-309
    0.131515786647796640E+01    0.246850252151489258E+00    0.462166366750001907E+04    0.852529432624243622E-04    0.258978545665740967E+00    0.695318745283340134-309
    0.127745401859283447E+01    0.925240956246852875E+00    0.429198972272872925E+04   -0.564210376221290226E-03    0.832330107688903809E+00    0.695318745283340134-309
    0.117983398437500009E+01    0.545855030417442322E+00    0.414705708217620850E+04    0.166694845985457902E-03    0.100519835948944092E+00    0.695318745283340134-309
    0.171029310226440434E+01    0.133604221045970917E+00    0.471291039830446243E+04    0.632405467807506979E-03    0.294392824172973633E+00    0.695318745283340134-309
    0.172683689594268808E+01    0.334389336407184601E+00    0.430899594426155090E+04    0.256629125798775502E-03    0.232699632644653320E+00    0.695318745283340134-309
    0.140436713695526127E+01    0.839406788349151611E+00    0.404672210401296616E+04   -0.278404170469997113E-03    0.456611216068267822E+00    0.695318745283340134-309
    0.120526468753814697E+01    0.477258197963237762E+00    0.492174871838092804E+04   -0.492370031069956399E-03    0.805166482925415039E+00    0.695318745283340134-309
    0.174313807487487793E+01    0.286156319081783295E+00    0.398557547914981842E+04    0.535651063614035316E-03    0.140502512454986572E+00    0.695318745283340134-309
    0.171422514915466317E+01    0.883309558033943176E+00    0.461525697326660156E+04    0.264455569207595854E-03    0.495007753372192383E+00    0.695318745283340134-309
