luminosity_distance KNphi KNtheta inclination_EM timeshift log10_mej_dyn log10_mej_wind Ebv log_likelihood log_prior
165.49667134653936 68.78639913172529 48.79666155697192 1.5237330588014064 -0.8748163633675345 -1.569411324253257 -0.8659732504814222 0.0 -62.36300493550029 -16.889311757327214
176.06538831288975 61.10888655129027 77.67257686428624 1.3852228674282543 -0.7721166943093247 -1.4482311252637798 -0.6573921752249468 0.0 -61.85791248250135 -16.905522372736684
182.71804233949652 72.65470588678485 74.71806580714623 1.198611312092957 -1.0321855056021243 -1.377113087268921 -0.5502953704997906 0.0 -61.61573047705542 -16.95912540395328
180.18263572015263 31.804257132580556 89.1470785922114 0.9639630189847422 -1.134999257170735 -1.7118289248624445 -0.7615285682801405 0.0 -61.28814731689537 -17.084878341408537
179.24472621850555 68.3755515100608 86.66792747854691 1.1330260383572295 -0.6408318785602347 -1.309282306305847 -0.6313939145992404 0.0 -61.0806322667172 -16.987251980715392
155.1882737629906 62.45246025774694 76.8447575744296 0.8860832228577186 -1.1693467316553363 -1.590033109685908 -0.7632991138372596 0.0 -60.97191031440532 -17.143611704702582
199.52149924958803 38.96807599848006 78.66723627299713 0.6444310859489527 -0.4795613047147207 -1.709755554974416 -0.7530543035918358 0.0 -60.90628145805569 -17.397790727078615
185.89333184441412 58.94650310407442 71.77653299539233 1.526027494477558 -1.2349229909072998 -1.6914376157243365 -0.7067232362206575 0.0 -60.73619740899713 -16.889206331757897
184.4493430095278 58.93375931460244 77.13544876596558 0.5056133718186534 -1.0961215221070688 -1.4670146314199202 -0.6086250039375329 0.0 -60.71778916658307 -17.613163430172417
165.41866662051078 69.97011719916958 57.036642998530375 1.3600945543157257 -0.9802519909590182 -1.7522575435317929 -0.8212391057615678 0.0 -60.51951191146397 -16.91056770691024
191.49624113018962 58.69118743791814 58.98162062176616 0.32351179031222066 -0.2191988604208135 -1.8403301624835757 -0.9542527895585611 0.0 -60.335044050305754 -18.034228166755277
165.99003126257307 46.93648993208157 82.32411516414619 1.0176258946037768 -0.156074816660571 -1.7022222163197278 -0.9475526480221892 0.0 -60.28836948525175 -17.0497079105197
168.80009111716404 64.51812539226319 79.25074883081973 1.5087310944767351 -0.9166703974081323 -1.6993857153048257 -0.8367805540361064 0.0 -60.177631946676314 -16.890131157009197
191.9585450375471 71.09934221597513 62.4824381404542 0.5765740370984358 -0.7899910200785958 -1.3496321317115245 -0.5766046458147986 0.0 -60.106951058918256 -17.494888927235543
180.30134008464148 68.74279190030904 70.5154524711843 0.716371911978006 -1.043135415174847 -1.4329005513025186 -0.6251005087532899 0.0 -60.08761094330561 -17.308803856079773
186.4031306618852 71.81515570348972 53.911796490306536 0.6630563131052282 -0.2558794300138105 -1.6999278469808727 -0.8480016911844603 0.0 -60.02896746822727 -17.373477987341115
166.7004982808275 73.76496066029227 77.93915322615037 0.45305612655188826 -0.9937594420736628 -1.4466481885784785 -0.6557443546239448 0.0 -59.82798172734071 -17.714390272443936
191.69583509978946 47.32303011903058 80.6645795601518 1.3544682285093286 -1.1348467117538334 -1.7056541136337817 -0.6401218648229277 0.0 -59.59898279788633 -16.911787609297992
182.05750270160513 35.06904449574229 87.87643752071398 1.5390319368554821 -0.9766793541306753 -1.7284604541053465 -0.7207437499906901 0.0 -59.591892010182036 -16.888708445747465
185.7488190335661 71.96688449400077 42.41683379454804 0.9917124564228537 -0.2789153825530173 -1.6478051365999296 -0.8550885346316637 0.0 -59.517510138607165 -17.06617766294794
153.41801311216028 37.880414546753215 80.63459731833676 1.275373359588202 -0.467990197396023 -1.848870248154463 -0.9770101198859802 0.0 -59.513922836369844 -16.932491152559404
172.5930658002481 73.45952137260117 60.77535127281216 1.0626930958871013 -0.9401025247265684 -1.685771676000023 -0.7282535538980586 0.0 -59.46174390931414 -17.023257684538613
133.65665891438496 38.20048561402794 89.63857856306036 0.534835402686563 -0.8627564238422778 -1.6275509684286529 -0.9253336559953498 0.0 -59.3139244974371 -17.562137943536303
163.5965272826747 74.75347036448932 88.9620397644482 0.9799088587102779 -0.5891812327754598 -1.3978277844866864 -0.7455477235137704 0.0 -59.26810475825903 -17.073995524121447
185.86303919566478 69.81466678660175 47.24016858452297 0.8965433187023982 -0.4515576760267481 -1.4564877954551505 -0.8265953838181597 0.0 -59.23806343072924 -17.13516184144219
183.31972309032764 32.22828961298636 79.54359453447918 1.0111678682141134 -0.560061757287682 -1.7620480936565008 -0.8774369986361439 0.0 -59.18193180068309 -17.053724467110325
185.4064803131272 61.163453979932434 59.4227802333105 1.2200936617243339 -0.28296618124854533 -1.4872478433816765 -0.8500888253873318 0.0 -59.09675382823414 -16.951003598476518
178.19873382953375 74.35614834503096 79.41489342178272 1.1760703798899075 -0.9479625400450709 -1.424134915511085 -0.5897671554767472 0.0 -58.99008766607875 -16.96821942748918
167.93949439871068 64.05551819936247 86.99059182032157 1.352040292403357 -0.863118707152748 -1.6766112547257994 -0.8265657150679524 0.0 -58.98451619731409 -16.91232428054677
168.3864294208797 71.5061480726991 82.56440349143377 1.156918292764261 -0.29241965052329766 -1.5981558364831774 -0.8938640498691597 0.0 -58.940238989552256 -16.976414393999594
196.10902252978636 60.30002694783383 79.57488607798473 1.195415079836573 -0.5820285818408 -1.6438778835205428 -0.6666900391124653 0.0 -58.89602881434101 -16.960379037265156
163.79334232756787 72.79975725632796 82.15402771344144 1.0805160464146766 -1.0437231654243648 -1.4909732726244118 -0.6838095042015242 0.0 -58.83388853478781 -17.01353932480026
190.20296095625503 69.96425813077215 71.83399770231472 0.8824547391859705 -0.25067031395703987 -1.6451750742139402 -0.8163603723707049 0.0 -58.821154317355834 -17.146585305541517
179.2804260999478 52.74286443323331 74.60655772368813 1.5646017693195426 -0.8679132529735456 -1.5646085485123953 -0.7873915666308773 0.0 -58.81571978725369 -16.888223059048258
196.59032625007572 70.51095079067919 79.06442582634011 1.1283063037310137 -0.3906659588667243 -1.5530023817866536 -0.7641427599201949 0.0 -58.80145766406093 -16.989474695409196
177.69247017105775 65.24797730457263 82.47093451896191 1.2894593334889533 -0.9414192247108037 -1.414858820449291 -0.6364531506725886 0.0 -58.76263316981573 -16.92831248231817
167.81605379105497 42.0943039145274 71.87466014123312 0.4121356393312817 -0.4029802269185925 -1.7109296725982914 -0.9158053258035368 0.0 -58.74316408170101 -17.803077966491806
188.64069650974452 51.05952872948876 68.82472592683389 0.834342454312734 -0.6143156626705131 -1.689075541582405 -0.8518177318587483 0.0 -58.73709291732396 -17.188154197962152
