mass_1,mass_2,chirp_mass,mass_ratio
1.25214,1.18663,1.06107665387795,0.947681569153609
1.25214,1.2193,1.075642773055107,0.9737729007938409
1.38427,1.3512,1.1905780593311932,0.9761101519212293
1.41729,1.3512,1.2046431733188407,0.9533687530427788
1.93184,1.41729,1.4370488290167094,0.7336477140964055
1.9573,1.41729,1.4461903801443754,0.7241046339345015
1.98205,1.41729,1.4550069788193913,0.715062687621402
2.00606,1.41729,1.4634952732000186,0.7065042919952543
2.02933,1.41729,1.4716622789947473,0.6984029211611714
2.05182,1.41729,1.4795006994415085,0.6907477264087493
2.07353,1.41729,1.4870170102273326,0.6835155507757303
2.0944,1.41729,1.4941967142961352,0.6767045454545455
2.11437,1.41729,1.5010254275218553,0.6703131429220051
2.13334,1.41729,1.50747526874297,0.6643526113980893
2.15123,1.41729,1.5135254015326518,0.6588277404089753
2.19755,1.38427,1.5103409299539001,0.6299151327614843
2.21022,1.38427,1.5144897238630874,0.6263041688157739
2.22131,1.38427,1.5181090176031453,0.623177314287515
2.23067,1.38427,1.5211549724252413,0.6205624319150748
2.23815,1.38427,1.5235834175490262,0.6184884837924177
2.24365,1.38427,1.525365816668284,0.6169723441713278
2.24701,1.38427,1.5264533619151992,0.6160497728091997
