mass_1,mass_2,chirp_mass,mass_ratio
1.18663,1.02704,0.9605479144795224,0.8655098893505135
1.18663,1.05833,0.9752593823471162,0.8918786816446574
1.2193,1.02704,0.9734724410440845,0.842319363569261
1.2193,1.05833,0.9884219325688769,0.8679816288034118
1.2193,1.08997,1.0032753186241326,0.8939309439842533
1.25214,1.02704,0.9862531960938632,0.8202277700576612
1.25214,1.05833,1.0014386093455458,0.8452169885156612
1.25214,1.08997,1.0165271975147092,0.8704857284329229
1.25214,1.12193,1.0315077285895973,0.8960100308272239
1.28509,1.02704,0.9988725805266474,0.799196943404742
1.28509,1.05833,1.0142914492413175,0.8235454326156144
1.28509,1.08997,1.0296128075562665,0.8481662762919329
1.28509,1.12193,1.0448252110225782,0.8730361297652305
1.31813,1.02704,1.0113290810991755,0.7791644223255673
1.31813,1.05833,1.0269788724735014,0.8029025968607042
1.31813,1.08997,1.042530501292761,0.8269062990752051
1.31813,1.12193,1.0579723124752278,0.8511527694536958
1.31813,1.15416,1.0732840503096963,0.875604075470553
1.3512,1.02704,1.0236065613866348,0.7600947306098282
1.3512,1.05833,1.0394844060398183,0.7832519242155122
1.3512,1.08997,1.0552634687349316,0.8066681468324454
1.3512,1.12193,1.0709318859244394,0.8303211959739492
1.3512,1.15416,1.0864690654261084,0.8541740674955596
1.3512,1.18663,1.10186520967194,0.8782045589105981
1.38427,1.02704,1.0357007475714861,0.7419361829700853
1.38427,1.05833,1.0518036603117475,0.7645401547385987
1.38427,1.08997,1.0678072033653598,0.7873969673546347
1.38427,1.12193,1.0836993070446175,0.8104849487455483
1.38427,1.15416,1.0994590465512388,0.833767978790265
1.38427,1.18663,1.1150764444405317,0.85722438541614
1.41729,1.02704,1.0476004616213592,0.7246505655158789
1.41729,1.05833,1.063925214151026,0.7467279103076999
1.41729,1.08997,1.0801500401714965,0.7690522052649776
1.41729,1.12193,1.0962626664527064,0.7916022832306727
1.41729,1.15416,1.1122418398512952,0.81434286560972
1.41729,1.18663,1.128077405052034,0.8372527852450805
1.45022,1.02704,1.059298679931635,0.7081959978486022
1.45022,1.05833,1.0758418791533024,0.7297720345878556
1.45022,1.08997,1.0922846249468678,0.7515894140199418
1.45022,1.12193,1.1086144433352874,0.7736274496283323
1.45022,1.15416,1.124809757398891,0.7958516638854795
1.45022,1.18663,1.1408602361471893,0.8182413702748549
1.45022,1.2193,1.15675142348402,0.8407689867744205
1.48301,1.02704,1.0707852697104774,0.6925374744607251
1.48301,1.05833,1.0875433007579636,0.7136364555869482
1.48301,1.08997,1.104200380477103,0.7349714432134646
1.48301,1.12193,1.1207438371861804,0.7565222082116777
1.48301,1.15416,1.1371517751375881,0.7782550353672599
1.48301,1.18663,1.153413690093466,0.8001496955516147
1.48301,1.2193,1.1695148975178231,0.82217921659328
1.51564,1.02704,1.0820609111155803,0.6776279327544799
1.51564,1.05833,1.0990301409278977,0.698272676888971
1.51564,1.08997,1.1158979491735581,0.7191483465730648
1.51564,1.12193,1.1326514695649068,0.7402351481882241
1.51564,1.15416,1.149268492549294,0.7615000923702199
1.51564,1.18663,1.1657383431351027,0.7829233855005147
1.51564,1.2193,1.1820461116763792,0.8044786360877253
1.54804,1.02704,1.0931092687495314,0.663445389008036
1.54804,1.05833,1.1102857287431653,0.6836580450117568
1.54804,1.08997,1.1273603239510617,0.7040967933645126
1.54804,1.12193,1.1443199969240219,0.7247422547221002
1.54804,1.15416,1.1611422298702652,0.7455621301775148
1.54804,1.18663,1.177816179857495,0.7665370403865533
1.54804,1.2193,1.1943267158711637,0.7876411462236118
1.58018,1.02704,1.1039281696263135,0.6499512713741472
1.58018,1.05833,1.1213078221456028,0.6697528129706742
1.58018,1.08997,1.1385851924433965,0.6897758483210774
1.58018,1.12193,1.1557470354505561,0.710001392246453
1.58018,1.15416,1.1727705308464393,0.7303978027819616
1.58018,1.18663,1.1896446706726356,0.7509460947486996
1.58018,1.2193,1.206354106412548,0.7716209545747954
1.61203,1.02704,1.114515479878581,0.6371097312084762
1.61203,1.05833,1.1320942206219813,0.6565200399496287
1.61203,1.08997,1.1495702862882555,0.6761474662382214
1.61203,1.12193,1.1669302478216896,0.6959733999987594
1.61203,1.15416,1.1841509882204988,0.7159668244387511
1.61203,1.18663,1.2012213375110012,0.7361091294827019
1.61203,1.2193,1.218125733660453,0.7563755016966185
1.64353,1.02704,1.1248593000395801,0.6248988457770774
1.64353,1.05833,1.1426327757174457,0.6439371353124068
1.64353,1.08997,1.160303207216773,0.6631883811065208
1.64353,1.12193,1.17785698538607,0.6826343297658091
1.64353,1.15416,1.1952707027965077,0.7022445589675881
1.64353,1.18663,1.2125330307119533,0.722000815318248
1.67465,1.02704,1.1349578792535515,0.6132863583435344
1.67465,1.05833,1.1529216797079027,0.6319708595825994
1.67465,1.08997,1.1707820894532954,0.6508643597169559
1.67465,1.12193,1.1885253232104211,0.6699489445555789
1.67465,1.15416,1.2061276894948612,0.6891947571134267
1.67465,1.18663,1.2235777041438338,0.7085838831994745
1.70536,1.02704,1.1448094428064217,0.6022423417929352
1.70536,1.05833,1.162959102107863,0.6205903738800018
1.70536,1.08997,1.1810050456007837,0.6391436412253132
1.70536,1.12193,1.1989333159194273,0.6578845522353052
1.70536,1.15416,1.2167199440080385,0.6767837875873717
1.70536,1.18663,1.2343532936921384,0.6958237556879486
1.73561,1.02704,1.1544058734195608,0.5917458415196962
1.73561,1.05833,1.172736751497686,0.6097740851919498
1.73561,1.08997,1.19096360919821,0.6280039870708282
1.73561,1.12193,1.2090723212908312,0.646418262167192
1.73561,1.15416,1.2270386479197177,0.6649881021658092
1.73561,1.18663,1.2448508044870403,0.6836962220775404
1.76537,1.02704,1.1637455232654814,0.5817703937418217
1.76537,1.05833,1.1822529291992465,0.5994947234857282
1.76537,1.08997,1.20065602963505,0.6174173119516022
1.76537,1.12193,1.2189405357640206,0.6355211655347038
1.76537,1.15416,1.2370819438019467,0.6537779615604661
1.79461,1.02704,1.1728266789663822,0.572291472799104
1.79461,1.05833,1.191505871086048,0.5897270158976045
1.79461,1.08997,1.2100804910008767,0.607357587442397
1.79461,1.12193,1.2285360906711693,0.6251664707095135
1.79461,1.15416,1.2468479093538871,0.643125804492341
1.82329,1.02704,1.1816444956349808,0.5632894383230314
1.82329,1.05833,1.2004906234730321,0.5804507236917879
1.82329,1.08997,1.2192319299082934,0.5978039697469959
1.82329,1.12193,1.2378538121315508,0.6153327227155307
1.82329,1.15416,1.256331259592974,0.6330095596421853
1.85138,1.02704,1.1901971966006655,0.5547429485032787
1.85138,1.05833,1.2092053600545787,0.5716438548542169
1.85138,1.08997,1.228108469460555,0.5887338093746287
1.85138,1.12193,1.2468917717580668,0.6059966079357021
1.87885,1.02704,1.1984829124394378,0.5466322484498496
1.87885,1.05833,1.2176481611352157,0.5632860526385821
1.87885,1.08997,1.2367081387802292,0.5801261409904996
1.87885,1.12193,1.2556479466366242,0.5971365462916146
1.90568,1.02704,1.2065026509445755,0.5389362327358213
1.90568,1.05833,1.2258200398850778,0.555355568615927
1.90568,1.08997,1.2450319554747162,0.5719585659712019
1.93184,1.02704,1.2142542634939242,0.5316382309093921
1.93184,1.05833,1.2337187942360786,0.5478352244492297
1.93184,1.08997,1.25307766321736,0.5642133924134505
1.9573,1.02704,1.2217354980633266,0.524722832473305
1.9573,1.05833,1.2413421176514057,0.5407091401420324
1.9573,1.08997,1.260842900187194,0.5568742655699178
1.98205,1.02704,1.2289497996330367,0.5181705809641532
1.98205,1.05833,1.2486935097222347,0.5339572664665372
2.00606,1.02704,1.235894558824323,0.5119687347337567
2.00606,1.05833,1.2557703015395774,0.5275664735850373
2.02933,1.02704,1.24257563861248,0.5060980717773846
2.02933,1.05833,1.2625784584369648,0.5215169538714749
