

    0.100719196970181228E-98    0.512999401234449806E+03    0.565747889696435067E+02    0.468056294445508740E+02    0.831168206996675565E+02    0.105499633018289596E+01   -0.494099005187806639E+00   -0.261554951226614607E+01   -0.149276054044077799E+01
    0.104081168476771064E-98    0.512932755383853873E+03    0.108082890510559082E+02    0.481696164608001709E+02    0.557238793373107910E+02    0.155211508494591777E+01   -0.366565108299255371E+00   -0.190479338169097900E+01   -0.262117806077003479E+01
    0.141220712866078312E-98    0.512321472931097560E+03    0.169312131404876709E+03    0.239697825908660889E+02    0.804261392354965210E+02    0.108377052519325723E+01   -0.260000526905059814E+00   -0.221406698226928711E+01   -0.769593745470046997E+00
    0.142123078239646826E-98    0.512307757519854476E+03    0.772163629531860352E+02    0.612142539024353027E+02    0.881009638309478760E+01    0.964540151981379879E+00   -0.963236391544342041E-01   -0.208457028865814209E+01   -0.158207955956459045E+01
    0.186757620814016685E-98    0.511760544556567311E+03    0.150650796077701699E+03    0.457875491933844643E+02    0.621903544223814393E+02    0.578848305768574156E+00   -0.584472395193090244E-01   -0.276865813371577207E+01   -0.858588164841420642E+00
    0.222540211561508981E-98    0.511408975632778720E+03    0.969956062653771056E+02    0.188469034381900542E+02    0.394058870726370003E+02    0.136521290144573060E+01   -0.179732081879727890E+00   -0.210202609663628115E+01   -0.145049143507561018E+01
    0.231368894563191226E-98    0.511330187927231520E+03    0.783568143844604492E+02    0.241313374042510986E+02    0.582929313182830811E+01    0.156675166378176178E+01   -0.773311555385589600E-01   -0.132205247879028320E+01   -0.172478559613227844E+01
    0.235423501286049144E-98    0.511294466079806284E+03    0.172083210945129395E+03    0.687985074520111084E+02    0.113630926609039307E+02    0.357331424748198789E+00   -0.814999341964721680E-01   -0.211903536319732666E+01   -0.852933108806610107E+00
    0.236040352680632561E-98    0.511288256015383695E+03    0.199409961700439453E+03    0.449074459075927734E+02    0.415558934211730957E+02    0.642996763373765212E+00   -0.145153045654296875E+00   -0.249377930164337158E+01   -0.677317261695861816E+00
    0.261757231376986686E-98    0.511080450052759545E+03    0.373138308525085449E+02    0.427443802356719971E+02    0.570535522699356079E+02    0.438034973309682718E+00   -0.457116216421127319E+00   -0.267099630832672119E+01   -0.101293134689331055E+01
    0.310092459375158050E-98    0.510740567424954861E+03    0.184943449944058159E+03    0.641938101978321356E+02    0.178540242152665329E+01    0.142353102978371071E+01   -0.208171258493041245E+00   -0.222874462793556383E+01   -0.825362719428269109E+00
    0.345462998649206964E-98    0.510523560795790218E+03    0.177405452728271484E+03    0.474843120574951172E+02    0.290176874399185181E+02    0.426539480018188366E+00   -0.247205197811126709E+00   -0.206587052345275879E+01   -0.955967634916305542E+00
    0.780378657072885093E-98    0.508892796798725612E+03    0.782833968289403259E+02    0.522474497461980505E+02    0.222262570136928090E+02    0.110519064857684457E+01   -0.389596512477877077E+00   -0.162325973056885875E+01   -0.152429403002976538E+01
    0.951664512686078075E-98    0.508494953615487134E+03    0.142210049068171088E+03    0.429087410835026475E+02    0.410315369230323839E+02    0.716470697698705639E+00   -0.683616705407423253E-01   -0.290874149161525031E+01   -0.100574843273188197E+01
    0.997467183981057976E-98    0.508399963693155314E+03    0.538999324939529032E+02    0.256337355551087605E+02    0.740871661474644299E+02    0.986786237591947057E+00   -0.497682107828117726E+00   -0.184761703380326936E+01   -0.570248009957625257E+00
    0.114072424820580705E-97    0.508130588340349334E+03    0.296820402145385742E+02    0.469499266147613525E+02    0.381716859340667725E+02    0.151843326451269922E+01   -0.134882271289825439E+00   -0.110700643062591553E+01   -0.120321559906005859E+01
    0.178585060174072935E-97    0.507233148851478745E+03    0.492356699839466359E+02    0.543827308425440350E+02    0.530878867052666408E+02    0.563801069350205020E+00   -0.314225996013398512E+00   -0.161425343149546618E+01   -0.517851325071505997E+00
    0.179127847875215545E-97    0.507226102749909728E+03    0.146119172081342668E+03    0.603084104339097564E+02    0.523520375408859522E+02    0.112038792680470412E+01   -0.284820456585130277E+00   -0.145506724084647177E+01   -0.652593106048479310E+00
    0.197807724977259941E-97    0.507026734811260155E+03    0.340836231591271144E+02    0.286806055450883264E+02    0.224943148168137945E+02    0.144466271734673235E+01   -0.253867083954583073E+00   -0.246504621636937715E+01   -0.258099118234032732E+01
    0.223048622249116200E-97    0.506785569625213554E+03    0.399839162826538086E+02    0.189778840541839600E+02    0.310142809152603149E+02    0.509790335681703843E+00   -0.488921105861663818E-01   -0.158059179782867432E+01   -0.259732487797737122E+01
    0.359178359541756988E-97    0.505831734455386538E+03    0.907284617424011230E+02    0.467600405216217041E+02    0.847101420164108276E+02    0.405342867266307916E+00   -0.237167537212371826E+00   -0.240934228897094727E+01   -0.116421344876289368E+01
