luminosity_distance KNphi KNtheta inclination_EM timeshift log10_mej_dyn log10_mej_wind Ebv log_likelihood log_prior
182.7766469538354 68.42539973386394 56.74019724495677 1.1776077992742002 -0.476132067348359 -2.691447808736992 -1.9679214862563112 0.0 -24.701460261435074 -16.274433159450485
156.48545260274813 21.089790665665923 34.51013558793704 0.8885986919294094 -0.8874834004567294 -2.8327330140294227 -2.1886694137903313 0.0 -24.61331827357057 -16.448415943547534
166.3367207038176 30.7561256890026 77.26517587995036 1.3829053860938298 -0.9675070379626861 -2.695535769244594 -1.8924422710281816 0.0 -24.38326605685014 -16.212813041748085
173.33727236987085 38.35403066919059 55.2802699479093 1.1837625148775628 -0.23056265512423724 -2.6741521603543488 -2.0133837584721204 0.0 -24.003254790951516 -16.271902424146624
104.45523188047443 48.05641729567731 68.39306462588547 0.6057717867604202 -0.8318526869583995 -2.66453122445398 -2.122333537883244 0.0 -23.82229015266806 -16.758234586498222
111.35506468906993 66.77761755518145 86.09871026697407 1.044074185853536 -0.7860573510284394 -2.4861119807564185 -2.1238274640574026 0.0 -23.748455605871793 -16.340707515589035
116.5229650996097 59.7515936129738 37.722727913337685 0.8807941947498349 -0.7758521125174438 -2.8142248579845277 -2.3629670536837355 0.0 -23.29875517393494 -16.454806322468468
160.1722983717175 38.192048194369605 74.58855421932509 1.0617535490004886 -0.7734083307661098 -2.429568201187446 -1.955463415469247 0.0 -23.168996536692248 -16.330634288952034
185.7850280688172 44.58430500096988 65.51265889544112 0.853469087307076 -0.19849331093896883 -2.5810782815973994 -2.0579003864792 0.0 -23.07902758169063 -16.47799613655342
195.61130722320942 41.05595770401057 9.107220245170796 1.490528749126015 -0.5291170159794265 -2.957883723219067 -1.943593798267903 0.0 -22.911936710325893 -16.19828159929137
121.82016847325876 61.500286217779795 89.12963401550563 1.2309647809863191 -0.4894956010182543 -2.604815419569005 -2.270279711394198 0.0 -22.85333511230552 -16.253946313603752
