   -0.736939149226857193E+01    0.130289953441173090E+01   -0.259318748323904780E+01   -0.821350900485125823E+00    0.155729117775791293E+00    0.109132421988796857E+00    0.271143725048651474E+00    0.353579989917144788E+00    0.240726594190718579E+01    0.104563257631450568E+03   -0.124859002804858665E+02
   -0.858608786220729669E+00    0.824454373517311101E+00   -0.316910182799463946E+01   -0.591931702971591367E+00    0.245447790403921617E+00    0.116907047493442606E+00    0.312614112931475618E+00    0.290388627090866602E+00    0.197968852448719779E+01    0.453029757555117669E+02   -0.107032668215658759E+02
   -0.100041884041837648E+01    0.403954096026376275E+00   -0.390695005792903771E+01   -0.170300849074955085E+01    0.239579644135657938E+00    0.548634261708620327E-01    0.320515685990141908E+00    0.327689511427038505E+00    0.100962423430080395E+01    0.166435883327604472E+03   -0.965108250106697696E+01
   -0.195223847031593323E+01    0.661130364790551317E+00   -0.251581564986705786E+01   -0.200968082904815670E+01    0.153092607855796814E+00    0.834328293800354059E-01    0.205218946933746316E+00    0.271406209468841586E+00    0.269847968816757211E+01    0.713620299100875854E+02   -0.948395492170988952E+01
   -0.745376121377059775E+01    0.971427315422109028E+00   -0.223441460250717672E+01   -0.110059060288572175E+01    0.128032285142352986E+00    0.101688813750148516E+00    0.177930540449985908E+00    0.337594131217240578E+00    0.248278513306761850E+01    0.402098288079250068E+02   -0.946165066179632497E+01
   -0.242625936120583852E+01    0.123703956408653459E+01   -0.256485941620013636E+01   -0.845360916756588310E+00    0.171865550805468975E+00    0.631248593843951600E-01    0.238860585250892932E+00    0.315292115353872249E+00    0.177195823599623736E+01    0.170392225829997159E+03   -0.930948192572874866E+01
   -0.778232181226941844E+01    0.114801743154708302E+01   -0.349710920668175573E+01   -0.734416552215850338E+00    0.290107342070659635E+00    0.137113077151430840E+00    0.324064042476375602E+00    0.236924654381349853E+00    0.236777059920917132E+01    0.595352258092382982E+02   -0.918307088299915542E+01
   -0.995028334373698620E+01    0.882490478484324936E+00   -0.285899920159595400E+01   -0.588176824725443304E+00    0.254612405235531525E+00    0.131150461211522351E+00    0.273496437617398391E+00    0.283526113403832103E+00    0.233807628960841862E+01    0.452454919801694402E+02   -0.907166792207270056E+01
   -0.387755885720252991E+01    0.650387068923441669E+00   -0.328202540230751039E+01   -0.900464782714843981E+00    0.277932401299476606E+00    0.123700988292694089E+00    0.291290032863616932E+00    0.239932334423065191E+00    0.291952761411666861E+01    0.608203989267349243E+02   -0.892594305684335332E+01
   -0.414367343039018543E+01    0.980241824925000893E+00   -0.215771005634564261E+01   -0.700896641156214528E+00    0.335096891493600890E+00    0.107073563616858797E+00    0.283384795144553725E+00    0.381202195534198929E+00    0.191265708137997170E+01    0.781424819639292139E+02   -0.891467027342298834E+01
