luminosity_distance KNphi KNtheta timeshift log10_mej_dyn log10_mej_wind Ebv log_likelihood log_prior
345.90297637677844 71.11199833481345 31.083628062919598 -1.3652892108674135 -1.331776496579828 -2.0801648720203207 0.0 -304.23507106468253 -17.111347423968603
358.4851241835398 69.59230412460678 35.46183861981367 -1.389639440239335 -1.3598872204069492 -1.9218233286356645 0.0 -304.2130055931171 -17.111347423968603
396.073092276141 69.13821213406871 34.54871829534051 -1.4152814394951319 -1.2989097638264344 -1.91725036373757 0.0 -303.72316097038174 -17.111347423968603
325.5854653257749 74.31383861898439 34.299145745024 -1.4875000634512523 -1.3204397005785384 -2.0513458083706926 0.0 -303.5805379051603 -17.111347423968603
338.4447340789937 66.44671118223008 42.934349053026175 -1.447680389705685 -1.3095661173699864 -2.0102949391387823 0.0 -303.28714832942364 -17.111347423968603
359.47993705046844 71.79184731179106 48.479575094731565 -1.4049650547210115 -1.181280191104143 -1.9868094290824683 0.0 -303.2579038747912 -17.111347423968603
347.4406218323449 65.16475630374319 52.163486347904275 -1.4350030311942128 -1.1855335905781128 -2.0392677486842663 0.0 -303.0008454919945 -17.111347423968603
367.51840599015765 62.38761284575803 46.61821294339225 -1.425265078388739 -1.2751714650393398 -1.9390536879417595 0.0 -302.28892941339626 -17.111347423968603
342.4758990496602 72.71924990279996 39.09886982267138 -1.349710201900192 -1.268774820948052 -2.055985320157256 0.0 -302.0739329505778 -17.111347423968603
364.9147554026477 73.35862144544987 25.89238113953805 -1.4821951978610903 -1.3520565806752123 -1.9991152356735384 0.0 -301.57537416458973 -17.111347423968603
351.8846777155725 63.1592261702277 54.00239109292204 -1.4191818624551131 -1.2313797077062563 -1.9451093468145195 0.0 -301.5224790314034 -17.111347423968603
367.54507467093384 72.35913996630725 37.044949352598124 -1.3508067155500307 -1.2438722299710325 -2.0176644278292066 0.0 -301.4026793662554 -17.111347423968603
374.0425808021134 71.78229593504358 28.424236472148372 -1.3992348790436548 -1.377349915144719 -1.9219116464202737 0.0 -301.38002849769094 -17.111347423968603
357.6745383474985 69.25110966358605 42.559794178135185 -1.4917983886558186 -1.216285501105763 -1.9504362004604177 0.0 -301.32867745878804 -17.111347423968603
350.4716117120393 69.80342751199098 39.39290364243399 -1.4048269040440404 -1.2918450139927669 -2.022659780747021 0.0 -301.1341044301143 -17.111347423968603
352.44762262073573 69.75753759346543 44.11508702330956 -1.5366263971967613 -1.1998820777062624 -1.9831207677412928 0.0 -301.0395213986615 -17.111347423968603
346.17100598280615 66.15858251661261 41.831045386185856 -1.3834893727129085 -1.291712214678091 -2.0251710805942875 0.0 -300.880650299272 -17.111347423968603
333.40799559342764 68.1980931031311 36.5660071861371 -1.5079023474000772 -1.3314119817199441 -1.999345448519168 0.0 -300.7868481843669 -17.111347423968603
365.601881272325 74.36351678102835 31.040672033617707 -1.456665327504622 -1.3083347101571634 -1.9205680729617458 0.0 -300.74364876165606 -17.111347423968603
363.7697062290061 73.31013672125641 31.435469890391342 -1.3859418352580455 -1.2930843051317615 -2.0397581506629168 0.0 -300.7299733879148 -17.111347423968603
345.59557164204836 71.86936045513721 34.00263426943055 -1.4196267325949778 -1.3235786369635503 -2.0468469287351203 0.0 -300.56779554208447 -17.111347423968603
365.2036488546805 74.74280584096675 32.90881891643397 -1.425785444583402 -1.24601275074006 -2.014139871270308 0.0 -300.4652983115493 -17.111347423968603
373.9917288459834 73.2560365807148 32.59451539946314 -1.3614746309028685 -1.2977466492379384 -1.937175318307423 0.0 -300.41790759427374 -17.111347423968603
354.93536707088936 65.89549623286644 42.54493768464896 -1.4291983326797126 -1.2642000405233305 -2.028489209377578 0.0 -300.37679019072874 -17.111347423968603
358.3742277717254 65.12910564500893 48.781702658651575 -1.4221917797290144 -1.2538780084747765 -1.933319904488635 0.0 -300.3666367900546 -17.111347423968603
358.88691523626255 62.77756297377445 49.27639997956918 -1.439173505916321 -1.2102486551463691 -2.0031449043541083 0.0 -300.3267602434918 -17.111347423968603
342.42518863319333 62.71592090634255 50.77807510056197 -1.5187334599839455 -1.205653443384636 -1.9946954244528774 0.0 -300.31023817689265 -17.111347423968603
354.678097336747 70.82501696538061 36.742700386731045 -1.3425302063286992 -1.2854259229998442 -2.0255692489864163 0.0 -300.16480299458715 -17.111347423968603
340.56076820738775 68.59260138742827 44.73406181679459 -1.4642526640451714 -1.2796168203930007 -1.9598884711055828 0.0 -300.134497366702 -17.111347423968603
350.48781661193624 73.53866550869793 36.29419765573047 -1.4463014482141978 -1.250256769419116 -1.9833248048764227 0.0 -300.10532415749196 -17.111347423968603
367.5335997398848 65.67306384808185 42.50395294455295 -1.4944724791647894 -1.2612214145670417 -1.9598663757059736 0.0 -300.0707451395973 -17.111347423968603
346.6523446332916 70.43139415909931 29.794893586870522 -1.4820268897894422 -1.3393854746261402 -2.0502537343600786 0.0 -300.05005748996535 -17.111347423968603
363.54271164301207 67.9264574794396 39.774073931330115 -1.552142682236018 -1.24718731603886 -1.9507656406468414 0.0 -300.0273257721131 -17.111347423968603
342.3804751507068 67.64154373529792 50.07806880326254 -1.507247132325706 -1.1955077402149106 -1.9829861403708269 0.0 -299.94094594853306 -17.111347423968603
344.11392637635754 71.66446964772584 28.045623714409885 -1.3897027840555234 -1.3916294849801307 -2.0431847916357997 0.0 -299.9036929868116 -17.111347423968603
335.96295546433566 69.28475097016148 47.89237191331996 -1.4682654085994207 -1.2379996279668615 -1.9826148044359355 0.0 -299.9013965347312 -17.111347423968603
384.2434585301502 73.5547096096918 30.469436771328283 -1.357780239387476 -1.293351639526938 -1.9593914917836104 0.0 -299.89143189707363 -17.111347423968603
358.1770792518193 69.24833578610802 37.49995177657908 -1.3996631878264847 -1.2909171655201765 -2.026464933016724 0.0 -299.8474211797758 -17.111347423968603
345.70123058762704 71.58686455388724 39.52570095664732 -1.3856909937376174 -1.3057041695998597 -1.9768255652204716 0.0 -299.83493645503665 -17.111347423968603
333.56595322522276 73.63725533144708 38.415504559435384 -1.4907238790390782 -1.2595659074547174 -2.0258993356771455 0.0 -299.82952739942147 -17.111347423968603
359.2798106419786 68.62497667941378 34.62982184606662 -1.5408985838441653 -1.2854417946229952 -1.994042675134844 0.0 -299.82488452659493 -17.111347423968603
364.329812788589 68.75233225044316 41.70184113964045 -1.4306375811871848 -1.2314099244657406 -1.9513447944384654 0.0 -299.79865270226475 -17.111347423968603
343.42885546416835 62.504510310209355 50.49326637162531 -1.4519438243884213 -1.2176594701615358 -2.023736617776228 0.0 -299.7911557124614 -17.111347423968603
348.0856457075799 74.02046276148185 37.09596943971594 -1.416069320383179 -1.2401937097357498 -2.0372398447609457 0.0 -299.6743325638906 -17.111347423968603
339.03809850398346 63.9939183445955 47.49147938926081 -1.479143611103303 -1.2274088104749843 -2.028226956555825 0.0 -299.66008178870857 -17.111347423968603
341.2613302170146 66.42632506921123 47.99184618206318 -1.4722050946128338 -1.2033276080308393 -2.017984173147361 0.0 -299.63895782226416 -17.111347423968603
382.2692511512249 71.229469720446 36.00866987254338 -1.3967151175021542 -1.2904003499565209 -1.928172583199467 0.0 -299.5814134454264 -17.111347423968603
355.46771979775247 61.479445137955736 48.84619478177876 -1.4795908717884174 -1.258323945269478 -1.9601654185296304 0.0 -299.57117342395145 -17.111347423968603
338.06404322295816 70.51185335174966 45.078182767288816 -1.4199573806704806 -1.2533138830179695 -2.00766041756071 0.0 -299.4451209513758 -17.111347423968603
355.7950469226397 67.16038325072054 39.54497055183832 -1.4330849823638503 -1.3201558523864823 -1.9411790310274029 0.0 -299.4073829306882 -17.111347423968603
366.40618173078576 63.81020447607453 45.805569414309545 -1.4999714368555979 -1.2489692419387222 -1.9364627463082442 0.0 -299.401581563498 -17.111347423968603
359.9572154423268 73.8413533775893 34.74213531396486 -1.3543663530583945 -1.275646083210988 -2.024673259843704 0.0 -299.37696782703915 -17.111347423968603
363.4807991992045 65.54644156944471 42.41718089136128 -1.4978297944499055 -1.227409802450335 -1.973682026669766 0.0 -299.33975306947 -17.111347423968603
367.93110872085026 66.53553973741379 39.38140831193383 -1.4527516430897438 -1.2663772085166276 -1.9529288925634702 0.0 -299.23377918521976 -17.111347423968603
361.2199704542335 68.32533071121945 42.28575572454273 -1.5069356470284827 -1.245753055000755 -1.9265886512250967 0.0 -299.2263709256176 -17.111347423968603
353.47602127956924 68.35033256547031 47.01438316767764 -1.4013479098535857 -1.2454442562516914 -1.9554629973760338 0.0 -299.2217043915534 -17.111347423968603
368.98669316985814 68.70441609244685 41.14636301242536 -1.374659227716061 -1.2403606963605005 -1.9907737475282699 0.0 -299.1675231537969 -17.111347423968603
351.22463606832474 72.78261219603041 28.99698903479818 -1.4176838402143355 -1.3599930661780866 -2.0336076897578583 0.0 -299.130035053695 -17.111347423968603
358.8685644560066 65.32311462395181 41.06869630030384 -1.5347699983299337 -1.266696375017375 -1.960778175984704 0.0 -299.12081551058225 -17.111347423968603
349.5977336497501 65.3511014761003 45.487921753248784 -1.4146172575130946 -1.2401611663111989 -2.0024293471376895 0.0 -299.11613953136515 -17.111347423968603
338.35801365103254 73.13279080227161 39.06476880984535 -1.497251658907138 -1.266080533182226 -1.9804957296533015 0.0 -299.0601338736542 -17.111347423968603
366.0510035628495 68.21112920820403 37.57118309445325 -1.523693085449522 -1.289168751396378 -1.9435762345858625 0.0 -299.0474872654702 -17.111347423968603
347.2844979373172 68.59308144287675 37.75752121236973 -1.5337718480513605 -1.3069719039584586 -1.971204946880962 0.0 -299.04240418010306 -17.111347423968603
378.48311424239625 72.20167980811377 27.59390405930442 -1.3924984695219171 -1.3361431096688219 -1.9711717627501517 0.0 -299.03493030874415 -17.111347423968603
359.2310309937985 68.71126316938214 35.93525568227955 -1.4812685388111384 -1.2985685765613793 -2.0070543538422845 0.0 -299.0046936243341 -17.111347423968603
339.9399595627334 70.45389657297086 41.25914282560581 -1.5188766768980628 -1.2681093888863182 -1.9698996696747426 0.0 -299.00121063268114 -17.111347423968603
345.64862610367265 68.74653491886096 48.29942406831166 -1.4880460416210304 -1.1946491276078843 -1.9924937490140424 0.0 -299.00039746255663 -17.111347423968603
370.56148626671984 66.07336722128181 44.51701210550766 -1.4128326495892822 -1.2239841516893581 -1.9679161933466311 0.0 -298.98915396596806 -17.111347423968603
364.54974987445 74.04857059942191 39.62347176232768 -1.4020239953450662 -1.2250183784625155 -1.9659168655475279 0.0 -298.98423839802786 -17.111347423968603
373.16940103785464 71.8492116885918 38.49254132363233 -1.4634582078913585 -1.2357542153235774 -1.9313758134342898 0.0 -298.97527858248344 -17.111347423968603
365.419512892427 71.71411536404875 37.956807219764784 -1.3686546152711068 -1.2537762467249984 -2.00860936673918 0.0 -298.9348066022536 -17.111347423968603
339.2205999615913 73.18304202816635 35.983286936127726 -1.4848525350397563 -1.268042816459954 -2.006275309816642 0.0 -298.9342672545563 -17.111347423968603
365.60682108702684 69.78611658636294 34.84375448576022 -1.3905978303444289 -1.2867427840268164 -1.9808550472152837 0.0 -298.92130037483105 -17.111347423968603
344.66033966786716 64.68560056235066 51.386944031323345 -1.5104443728340555 -1.1996719579944888 -1.9820796826495202 0.0 -298.9152427867238 -17.111347423968603
367.04756532102476 70.85274663496659 27.634651461015565 -1.4560212117231448 -1.3566415885156566 -1.9803448187629797 0.0 -298.8852264985036 -17.111347423968603
375.5140916941638 68.47724589767674 36.05593250526851 -1.393547122654845 -1.2777529951340536 -1.9823675651335042 0.0 -298.8196321151109 -17.111347423968603
340.83150492932685 73.30784769044908 29.257504020835224 -1.409881167891914 -1.3481578973002415 -2.066917186169759 0.0 -298.80075950609347 -17.111347423968603
350.51909609145 74.93620512255407 26.174897104377298 -1.4328556896405749 -1.4014464459953657 -1.9679537386725054 0.0 -298.7977373098029 -17.111347423968603
337.54059507175856 70.8188025883866 32.342954894100096 -1.5096037901095556 -1.3487609679261012 -2.0111131708454177 0.0 -298.7659405090679 -17.111347423968603
361.4704010668404 73.41790174305086 34.63156215689913 -1.4364057156080108 -1.242858434287835 -1.9984775467869083 0.0 -298.7630793260494 -17.111347423968603
355.7358046595302 69.57688169353668 45.253845914698495 -1.4365850851326587 -1.224212435220592 -1.9469218088694045 0.0 -298.7323956005989 -17.111347423968603
364.4371309518908 72.69766030666253 35.98777678126806 -1.4480854897823998 -1.2797400194677588 -1.9744142542751948 0.0 -298.7036084942793 -17.111347423968603
348.60167691112497 67.29214373893606 35.79296130210961 -1.5080497441821086 -1.3179762378185238 -2.013167773386032 0.0 -298.6804718801918 -17.111347423968603
336.56529606279224 68.92005491382153 36.231589293496754 -1.4755569307219747 -1.3394448251673068 -2.0136530098324563 0.0 -298.65848225214154 -17.111347423968603
380.76689513020966 68.6280611680491 38.93232423135707 -1.4315188824368592 -1.2605275240309044 -1.9290459403437394 0.0 -298.6524721555406 -17.111347423968603
361.59471222141923 70.3948992026958 44.73658447746519 -1.4151791852671307 -1.2180569775700227 -1.9500696587073267 0.0 -298.5987631602615 -17.111347423968603
333.5834396941841 71.88634355790032 35.28196871076421 -1.4003983872943069 -1.3318069556482812 -2.011897545325594 0.0 -298.59750816535103 -17.111347423968603
345.63847732320284 62.18384425387454 51.60799046276089 -1.5001529075238842 -1.2304546015305342 -1.9763691035143014 0.0 -298.57746776752714 -17.111347423968603
336.312073747586 67.442128077447 48.68310272738333 -1.473829033398819 -1.2252328977992242 -2.0135173455378297 0.0 -298.57121197347084 -17.111347423968603
361.6734232765876 65.97267716486189 48.620554418022266 -1.4477386198355306 -1.1939357002686415 -1.9767361243403778 0.0 -298.5097583197442 -17.111347423968603
360.313346572671 68.06869521090101 36.04962686659767 -1.5016520138467746 -1.267885573262049 -1.994314929470159 0.0 -298.44778282413216 -17.111347423968603
364.4653055052068 68.09597396601023 41.88517870116664 -1.4143443204116046 -1.276823910722862 -1.9555683083557256 0.0 -298.4262439580608 -17.111347423968603
347.596646556 68.77204223187047 35.715888614868355 -1.4855152113421894 -1.3365619294033633 -1.9889656564768197 0.0 -298.40817784662494 -17.111347423968603
348.3186985158959 69.59822407821376 42.90120227558202 -1.4489623293801421 -1.2613019137739307 -1.9468378475902326 0.0 -298.3903581775917 -17.111347423968603
371.8984866851972 74.53036681294343 25.57529184315392 -1.4343027975102145 -1.340264461049385 -1.9774061320119385 0.0 -298.371174990717 -17.111347423968603
343.3407325626231 67.3771487893151 41.02978646332555 -1.5247597099074848 -1.2880047353681492 -1.9667948081211062 0.0 -298.3701327383192 -17.111347423968603
359.3719745366939 72.39436515857226 27.042008108549876 -1.3993527008845645 -1.40266651962142 -1.9691488570782054 0.0 -298.3396011044995 -17.111347423968603
365.58162433486496 73.6690624523086 25.841252596668078 -1.4211145818196287 -1.397424638868979 -1.937972525142174 0.0 -298.3303009811635 -17.111347423968603
365.2783330903403 70.08380186336706 39.64873688750214 -1.4802884951503446 -1.2159378525809759 -1.9799670540803087 0.0 -298.3105989105577 -17.111347423968603
357.007062665302 70.03709918987406 30.515609815143492 -1.4997455016006134 -1.35053800142535 -1.9863111356913488 0.0 -298.2669950146397 -17.111347423968603
367.009138638123 69.06203349846699 30.95778149994303 -1.4672771568706082 -1.343249819333833 -1.9766821711878801 0.0 -298.2607801129919 -17.111347423968603
356.14183588513197 73.28774497109654 40.096272066628856 -1.4563879007572353 -1.2510750574958562 -1.96495803017694 0.0 -298.25342254411225 -17.111347423968603
367.40850182064065 73.16149614350684 38.95384511465821 -1.4495132152548509 -1.2236329182444703 -1.96039797009375 0.0 -298.2451073144174 -17.111347423968603
340.7033799001823 71.5411694675758 41.01691362028653 -1.4928724995275333 -1.2642621130695049 -1.9896418815491512 0.0 -298.2430919292 -17.111347423968603
360.6150081961503 70.96403256516192 40.98429653640738 -1.4072088526273223 -1.2636744430548044 -1.9716524493673737 0.0 -298.23359555433376 -17.111347423968603
344.341157773246 69.90180742561827 38.548578373720666 -1.4808725803721923 -1.3131680307040905 -1.9521050077796365 0.0 -298.1944506718094 -17.111347423968603
335.0578028410456 74.15602972543209 31.20081941555693 -1.395174265123923 -1.3536695897364928 -2.0429666174359284 0.0 -298.18478899594083 -17.111347423968603
371.8848694629842 68.31909147824499 42.091193003494574 -1.466677031371732 -1.2250236978342113 -1.9638520472309018 0.0 -298.16348372608667 -17.111347423968603
373.4285711470012 70.9114537490043 30.213070641635397 -1.463901090970002 -1.3509326540995414 -1.9328113560733824 0.0 -298.1625245049161 -17.111347423968603
358.2464761787569 69.20151906568816 36.00845969319531 -1.369483725842814 -1.3129331244367248 -1.9963286560902844 0.0 -298.1610663818995 -17.111347423968603
359.71303503451855 73.19185621354598 33.54815925113828 -1.4375438423626001 -1.2737245213501251 -2.0252211752245155 0.0 -298.14421955671696 -17.111347423968603
347.04593308091376 67.4558502934258 38.10064749906261 -1.4846498592186281 -1.3024632254397868 -2.022331171961609 0.0 -298.13368810538384 -17.111347423968603
372.6099057717739 72.09064032710727 37.00043960813726 -1.4205570986466824 -1.2377809038499918 -1.9589757665643464 0.0 -298.12899318426884 -17.111347423968603
