,jd,mag,mag_unc,filter,limmag,programid
41,44243.22760900495,22.662855432261065,0.1,sdssu,inf,0.0
42,44243.327609004955,21.22231748781317,0.1,ps1__z,inf,0.0
43,44243.327609004955,21.907051934109973,0.1,2massh,inf,0.0
44,44243.327609004955,21.031040172794636,0.1,ps1__r,inf,0.0
45,44243.327609004955,21.46703269793288,0.1,ps1__i,inf,0.0
46,44243.327609004955,22.6789122007853,0.1,sdssu,inf,0.0
47,44243.327609004955,21.59876215696822,0.1,ps1__g,inf,0.0
48,44243.42760900495,21.12453765764689,0.1,ps1__z,inf,0.0
49,44243.42760900495,21.833908563517014,0.1,2massh,inf,0.0
50,44243.42760900495,21.030558085725843,0.1,ps1__r,inf,0.0
51,44243.42760900495,21.429149965518114,0.1,ps1__i,inf,0.0
52,44243.42760900495,21.470199883248632,0.1,ps1__g,inf,0.0
53,44243.42760900495,22.98025097145469,0.1,sdssu,inf,0.0
54,44243.52760900495,21.559331768459774,0.1,2massh,inf,0.0
55,44243.52760900495,22.885063292917476,0.1,sdssu,inf,0.0
56,44243.52760900495,21.422187703607264,0.1,ps1__z,inf,0.0
57,44243.52760900495,21.417437045943068,0.1,ps1__r,inf,0.0
58,44243.52760900495,21.60017969507606,0.1,ps1__g,inf,0.0
59,44243.52760900495,21.409490712316973,0.1,ps1__i,inf,0.0
60,44243.62760900495,21.62902457458292,0.1,2massh,inf,0.0
61,44243.62760900495,23.06964580434167,0.1,sdssu,inf,0.0
62,44243.62760900495,21.1894574937715,0.1,ps1__r,inf,0.0
63,44243.62760900495,21.56436704266158,0.1,ps1__g,inf,0.0
64,44243.62760900495,21.323206596506335,0.1,ps1__z,inf,0.0
65,44243.62760900495,21.377560159010724,0.1,ps1__i,inf,0.0
66,44243.72760900495,21.64335231341841,0.1,ps1__g,inf,0.0
67,44243.72760900495,23.19023632484805,0.1,sdssu,inf,0.0
68,44243.72760900495,21.162769155647236,0.1,ps1__i,inf,0.0
69,44243.72760900495,21.419413145427313,0.1,2massh,inf,0.0
70,44243.72760900495,21.348232935775265,0.1,ps1__r,inf,0.0
71,44243.72760900495,21.233678182875813,0.1,ps1__z,inf,0.0
72,44243.827609004955,21.119841618765626,0.1,ps1__i,inf,0.0
73,44243.827609004955,21.246117531892878,0.1,ps1__z,inf,0.0
74,44243.827609004955,21.81481373405946,0.1,ps1__g,inf,0.0
75,44243.827609004955,23.57132746849331,0.1,sdssu,inf,0.0
76,44243.827609004955,21.447281485610326,0.1,ps1__r,inf,0.0
77,44243.827609004955,21.536418894474142,0.1,2massh,inf,0.0
78,44243.92760900495,21.05725091017713,0.1,ps1__z,inf,0.0
79,44243.92760900495,21.40779369931858,0.1,ps1__i,inf,0.0
80,44243.92760900495,21.169998310665594,0.1,2massh,inf,0.0
81,44243.92760900495,23.61799091264194,0.1,sdssu,inf,0.0
82,44243.92760900495,21.50577058644282,0.1,ps1__r,inf,0.0
83,44243.92760900495,21.70482703659594,0.1,ps1__g,inf,0.0
84,44244.02760900495,21.280631986005133,0.1,2massh,inf,0.0
85,44244.02760900495,21.29985149526644,0.1,ps1__z,inf,0.0
