timeshift inclination_EM log10_mej_dyn log10_mej_wind v_ej_dyn v_ej_wind Ye_dyn Ye_wind em_syserr luminosity_distance Ebv log_likelihood log_prior
-7.369391492268572 1.302899534411731 -2.593187483239048 -0.8213509004851258 0.1557291177757913 0.10913242198879686 0.2711437250486515 0.3535799899171448 2.407265941907186 104.56325763145057 0.0 -12.485900280485867 -4.205971176719664
-0.8586087862207297 0.8244543735173111 -3.1691018279946395 -0.5919317029715914 0.24544779040392162 0.1169070474934426 0.3126141129314756 0.2903886270908666 1.9796885244871978 45.30297575551177 0.0 -10.703266821565876 -4.205971176719664
-1.0004188404183765 0.4039540960263763 -3.9069500579290377 -1.7030084907495509 0.23957964413565794 0.05486342617086203 0.3205156859901419 0.3276895114270385 1.009624234300804 166.43588332760447 0.0 -9.651082501066977 -4.205971176719664
-1.9522384703159332 0.6611303647905513 -2.515815649867058 -2.0096808290481567 0.15309260785579681 0.0834328293800354 0.20521894693374632 0.2714062094688416 2.698479688167572 71.36202991008759 0.0 -9.48395492170989 -4.205971176719664
-7.453761213770598 0.971427315422109 -2.2344146025071767 -1.1005906028857217 0.128032285142353 0.10168881375014852 0.1779305404499859 0.3375941312172406 2.4827851330676185 40.20982880792501 0.0 -9.461650661796325 -4.205971176719664
-2.4262593612058385 1.2370395640865346 -2.5648594162001364 -0.8453609167565883 0.17186555080546898 0.06312485938439516 0.23886058525089293 0.31529211535387225 1.7719582359962374 170.39222582999716 0.0 -9.309481925728749 -4.205971176719664
-7.782321812269418 1.148017431547083 -3.4971092066817557 -0.7344165522158503 0.29010734207065964 0.13711307715143084 0.3240640424763756 0.23692465438134985 2.3677705992091713 59.5352258092383 0.0 -9.183070882999155 -4.205971176719664
-9.950283343736986 0.8824904784843249 -2.858999201595954 -0.5881768247254433 0.2546124052355315 0.13115046121152235 0.2734964376173984 0.2835261134038321 2.3380762896084186 45.24549198016944 0.0 -9.0716679220727 -4.205971176719664
-3.87755885720253 0.6503870689234417 -3.2820254023075104 -0.900464782714844 0.2779324012994766 0.12370098829269409 0.29129003286361693 0.2399323344230652 2.9195276141166686 60.820398926734924 0.0 -8.925943056843353 -4.205971176719664
-4.143673430390185 0.9802418249250009 -2.1577100563456426 -0.7008966411562145 0.3350968914936009 0.1070735636168588 0.2833847951445537 0.38120219553419893 1.9126570813799717 78.14248196392921 0.0 -8.914670273422988 -4.205971176719664
