luminosity_distance timeshift log10_mej log10_vej log10_Xlan inclination_EM em_syserr Ebv log_likelihood log_prior
117.09084218676018 -2.05185478431597 -0.7200103450430251 -0.6086352898801761 -3.55153642395896 0.22883954949474208 1.475173063028247 0.0 -22.69035438126127 -11.75698202984055
81.26121629416609 -1.0210117931984417 -1.5298082448111778 -0.8338633534479469 -3.1138395198302726 1.248486517345948 0.5897571772592145 0.0 -19.44171805488448 -11.75698202984055
101.74845829942662 -2.431821371774536 -1.4464795923081246 -1.0644553443678428 -4.826626475624921 1.1710800419627283 0.6561277849181886 0.0 -17.621737611773383 -11.75698202984055
102.5206886476287 -2.117436434170669 -1.0369024154494944 -0.7248435622221425 -3.612549789925458 1.0716920494779398 1.0155661460229368 0.0 -17.320950585014955 -11.75698202984055
150.64027309417725 -3.434171199798584 -0.6785904169082642 -0.7810716134309769 -3.9054160118103027 1.383526053459184 1.0624771356582643 0.0 -17.143078233464436 -11.75698202984055
78.0921015185282 -5.004446415905596 -1.3916425456484887 -1.4745365241488508 -4.496579507148344 1.1025179931771323 0.8811424735272142 0.0 -17.057288778394994 -11.75698202984055
167.25934913368522 -2.7231101718417596 -1.3018365211244383 -1.149755494546372 -4.782185162216915 0.44780627038534493 0.9533741112288643 0.0 -16.99913198611003 -11.75698202984055
115.73490215390406 -6.500633168188605 -0.9892982803790429 -0.8762818320452347 -5.005817256035886 0.09168830985887093 0.8981557646048297 0.0 -16.819567875585378 -11.75698202984055
135.2061371011796 -1.358068474218559 -1.3211312807218338 -0.7501797626351824 -4.560951967008173 0.60752711789806 0.8204025857092583 0.0 -16.73320564148109 -11.75698202984055
134.82373218086042 -5.243455404318845 -1.3700167953936577 -1.3646876875094178 -5.560864734288993 0.8568885594645596 0.6775502410908651 0.0 -16.707798547281584 -11.75698202984055
185.4285421173244 -3.508986320846656 -1.1183395012072779 -1.0167292697251447 -4.604517004655498 0.2729755384901504 0.7371725121580072 0.0 -16.69352471367914 -11.75698202984055
104.17507702286579 -4.383861447722852 -1.6911608658633743 -1.2983185650248352 -5.3683503055211546 1.2821729501581856 0.3887507815521283 0.0 -16.68556701139817 -11.75698202984055
166.3596331982956 -4.9133555539517015 -0.6704503473430932 -0.7330121178778306 -4.6973589427983535 0.07496356982645935 0.945193182476946 0.0 -16.684368337700647 -11.75698202984055
116.07655463401356 -1.6336814650909783 -1.3369073329566 -0.899408230200613 -3.6069249337300917 0.20309100221705267 0.5138745700607297 0.0 -16.634082135987647 -11.75698202984055
160.23800225028492 -4.576008317418071 -0.8733393092119814 -1.1948905888015946 -4.464693417606892 0.14022551785573853 0.9837587486991581 0.0 -16.622345743765983 -11.75698202984055
195.208790526378 -5.146773556632158 -0.7514958593214485 -1.2952068870667826 -4.651681731974505 0.322178818457847 0.8585045032951928 0.0 -16.545713547355497 -11.75698202984055
137.86925880216756 -5.91186900873314 -0.7382964992916778 -0.7980286855763701 -4.4422582220061235 0.644480589845112 0.8696118071024344 0.0 -16.543389942235702 -11.75698202984055
171.62621223514532 -6.1326669611875015 -0.9895065197479096 -1.268545998080814 -5.118740703311357 1.0114883768629834 0.681289689217488 0.0 -16.357304832842622 -11.75698202984055
118.2209865843565 -4.021489204430868 -0.9268852623606803 -0.7968510600578261 -3.705995164008306 0.7427274148994443 0.6039509461825917 0.0 -16.345842210098652 -11.75698202984055
75.7386150848943 -4.30431498968989 -1.8192578693165977 -1.2063021466024235 -5.5122600256799394 0.17898918414604814 0.9222578435504452 0.0 -16.23462432416082 -11.75698202984055
119.22929093858338 -4.954268605931035 -1.070706251618411 -1.0977861338271309 -4.342964358597074 1.521707375148296 0.8046651716119566 0.0 -16.165887680963003 -11.75698202984055
113.68200992108079 -2.2240571720404425 -1.7572141219702804 -1.2468790658907518 -5.310620000123183 0.21482229439605344 0.613123190865936 0.0 -16.10716179826197 -11.75698202984055
48.31891685070502 -2.9610440722279305 -1.7644855572925215 -0.8414055060774089 -3.580199988951552 0.9133731449627313 0.6592365030982923 0.0 -16.097048090114807 -11.75698202984055
137.88005060291331 -5.393313708917696 -0.918160925470108 -1.1416971320154492 -4.8223163032785 0.9705649381225137 0.8331461499430894 0.0 -15.986321515356375 -11.75698202984055
188.10040716139815 -2.2690850104809934 -0.9165896078696161 -0.7886773018015562 -4.593557618260291 0.906579870140864 0.9202849748103628 0.0 -15.978566131707991 -11.75698202984055
155.01254349120043 -1.3829278488809198 -1.2231882423152733 -0.5683608420406837 -4.1686223705848455 1.188162230034675 0.6441288587303036 0.0 -15.828630627568936 -11.75698202984055
192.9994278228304 -3.0216829209791713 -0.9745544194062274 -0.9137466130569407 -5.151257144872478 0.927593387161201 0.5552333915763762 0.0 -15.826275871812033 -11.75698202984055
94.53258119929222 -4.355181415204678 -1.3669824031962068 -0.7909287734733776 -4.931572729177556 0.6491589441492605 0.6994292742042507 0.0 -15.77997499453295 -11.75698202984055
177.1522599159841 -5.557326001203739 -0.8285483191212277 -1.0769535405626276 -4.95765854695546 0.5955394328550525 0.9021848618947033 0.0 -15.75455517754298 -11.75698202984055
20.00009223611902 -2.5774114448605516 -2.5564475484012537 -0.8235547518081533 -3.986186374786877 0.5901551489578355 0.7758118410237438 0.0 -15.741998200298859 -11.75698202984055
97.02658041408371 -1.2221181371359027 -1.921162252382693 -1.1133184974744816 -4.789864716523602 0.1987360928182392 0.922012442163274 0.0 -15.713279015899296 -11.75698202984055
83.98807238589099 -3.866351362846114 -1.4198714642308345 -1.3621623802597627 -4.144341868328416 1.0823482325331595 0.7034791391004491 0.0 -15.711657006540197 -11.75698202984055
121.88587107293284 -2.8207881950399853 -1.3425718441354488 -1.1603993315875825 -4.341733735706946 0.8149548473688788 0.8808634967017124 0.0 -15.707212944371172 -11.75698202984055
103.07836581419085 -2.690840960485283 -1.623137191187633 -0.7564309720826817 -4.6480765565436055 0.2377744694376759 0.5187755691193967 0.0 -15.704043279881258 -11.75698202984055
164.66875953731233 -4.933034244026764 -0.5049644176096724 -0.7142067586805815 -3.806164757311265 1.1027422755836636 0.8174134774271535 0.0 -15.679208561800575 -11.75698202984055
149.32244533984024 -5.735281261721084 -0.9385320107496145 -1.2408961858689016 -4.869234375970309 0.3261296322471822 0.4464601860262094 0.0 -15.663671123297172 -11.75698202984055
114.12848084577986 -3.2229957455029243 -1.6334879291784183 -1.3581257916023928 -5.053917778711054 1.1990504338360057 0.7081533640277307 0.0 -15.644286576348405 -11.75698202984055
79.68803322928981 -3.6157664235152955 -1.6579163776137726 -1.4075361160323403 -4.841988704531125 0.5162771560069931 0.7409128641554585 0.0 -15.626125984009722 -11.75698202984055
198.20992976724222 -3.1768687348609888 -0.542447323478612 -0.9203267880256153 -4.147886691394418 0.949329479138454 0.5136429825913521 0.0 -15.523464231083468 -11.75698202984055
112.64721521444136 -4.022457653526354 -1.14946659722023 -0.8087443732611479 -4.783647295540411 0.08408009690823592 0.8261369767288049 0.0 -15.517309436340879 -11.75698202984055
183.95629117396257 -4.5814054287496955 -0.7146655467420939 -0.9722064858144853 -4.85662279197004 1.1186253869506273 0.31200349406729594 0.0 -15.512127736694254 -11.75698202984055
