    0.484062113174654058E+02   -0.200023837381376701E+01   -0.156077716810130229E+01   -0.809879359840588897E+00   -0.469991364343854556E+01    0.890917908558372829E+00    0.132172476599751554E+01   -0.280046934701667105E+02
    0.662543540955971082E+02   -0.126548774521788054E+01   -0.144613018016541406E+01   -0.843167919033347202E+00   -0.515158664773210440E+01    0.668863613153295566E+00    0.131407338124789352E+01   -0.268272104704068362E+02
    0.101944133578414949E+03   -0.361577270431685260E+01   -0.112396969510908828E+01   -0.127364009575985260E+01   -0.533717221993600965E+01    0.664745607395253346E+00    0.883251107795686607E+00   -0.263407395962982775E+02
    0.871259208516172663E+02   -0.251564831610380768E+01   -0.530375029820349120E+00   -0.762468793069278061E+00   -0.425287087677428666E+01    0.102180933749980940E+01    0.126011245930000615E+01   -0.261110956813183179E+02
    0.885432892520831416E+02   -0.191359778731956087E+01   -0.142046736010076780E+01   -0.126542929994214948E+01   -0.566454899969214676E+01    0.130847144595517745E+00    0.736894469235777949E+00   -0.252451500177043613E+02
    0.100245288695758632E+03   -0.160318876971766500E+01   -0.797239502957681978E+00   -0.897868373390421692E+00   -0.487093756231765074E+01    0.417862338734116046E+00    0.113880644641558360E+01   -0.246779978752294404E+02
    0.860767578649674618E+02   -0.114302339351981974E+01   -0.860179038429578213E+00   -0.101047541879323211E+01   -0.462729024225285368E+01    0.338970643268915628E+00    0.512037070645606662E+00   -0.240477409761972538E+02
    0.958340919960991471E+02   -0.283398477855516617E+01   -0.119029339985637983E+01   -0.110506039743320739E+01   -0.574926818492599612E+01    0.152859472118956097E+01    0.787402613005699137E+00   -0.238368376430649462E+02
    0.495075059799051900E+02   -0.904843389522000052E+00   -0.121170152977201706E+01   -0.100553621646934110E+01   -0.375233130129385017E+01    0.266121598587258479E+00    0.878886738904603559E+00   -0.234865370233951580E+02
    0.430614769292637831E+02   -0.227300203683978186E+01   -0.150750661002707020E+01   -0.113650910292149576E+01   -0.457763393793735318E+01    0.738481844468200532E+00    0.784346133317662231E+00   -0.229181655980703667E+02
    0.939828609621857538E+02   -0.373630821576935546E+01   -0.510200601249649388E+00   -0.145591683569978558E+01   -0.385272842430425655E+01    0.698185514426222675E+00    0.842020870525590492E+00   -0.229002106047563672E+02
    0.686162575569080673E+02   -0.341580884659274631E+01   -0.102598380041680759E+01   -0.120591809206868494E+01   -0.509574695630757457E+01    0.106694567857436651E+01    0.500103673810217364E+00   -0.228386357671418878E+02
    0.373863616860187733E+02   -0.275242625779833716E+01   -0.170636647731871660E+01   -0.138632758151706525E+01   -0.540374459685001973E+01    0.121281824207942335E+01    0.101987902342939285E+01   -0.225314164088846596E+02
    0.368599427607536541E+02   -0.201878710229232361E+01   -0.198816821180654180E+01   -0.140882641935570874E+01   -0.572961368880116684E+01    0.117318760271430111E+01    0.103964153712614382E+01   -0.222886780721593105E+02
    0.484991859566338945E+02   -0.332479136465000202E+01   -0.107793286729929383E+01   -0.758614817241456851E+00   -0.463696966446439696E+01    0.967809486613580156E-01    0.856912295012660863E+00   -0.221808765861725590E+02
    0.302297518077575020E+02   -0.124431801346957460E+01   -0.212231801163861045E+01   -0.138833364588590524E+01   -0.524712484915889998E+01    0.143782977982205651E+01    0.105695202950701717E+01   -0.221710435439927203E+02
    0.373738759591732119E+02   -0.194738642655443606E+01   -0.188481331538254504E+01   -0.143981057212369690E+01   -0.501645468732814770E+01    0.134871401502757604E+01    0.102727316580855388E+01   -0.219974016581524303E+02
    0.898614732082304215E+02   -0.279151081516558897E+01   -0.922707972942482524E+00   -0.104936043953297986E+01   -0.465913438134600888E+01    0.290871783536450657E+00    0.650667963623368317E+00   -0.219661237146902941E+02
    0.652623536305572429E+02   -0.209403799168565730E+01   -0.819543704595272260E+00   -0.110248139274473878E+01   -0.412906425776493435E+01    0.856927184411284570E+00    0.875608352159179981E+00   -0.217246478602961872E+02
    0.447599605633693542E+02   -0.246761712653736787E+01   -0.192610819298608105E+01   -0.124966957144979096E+01   -0.568074613053419597E+01    0.507066863662456679E+00    0.651918621665183773E+00   -0.214858560023231604E+02
    0.388599453940219206E+02   -0.304443969997204000E+01   -0.150332210135079003E+01   -0.124321273998846538E+01   -0.512013344407840165E+01    0.220197331761036452E+00    0.841468649519145240E+00   -0.214540082944382959E+02
    0.894717886005549445E+02   -0.284486229164712157E+01   -0.905165826111534955E+00   -0.103296264132285920E+01   -0.506590500994967918E+01    0.118318732462655274E+01    0.880869477012555357E+00   -0.213927157907554424E+02
