2025-01-01T03:23:47.981 ps1__g 20.8778287834713 0.03167006734431335
2025-01-01T21:00:37.193 ps1__g 21.31689907604384 0.3387218559397821
2025-01-02T00:52:10.390 ps1__g 21.21772654072356 0.1974062610781222
2025-01-02T13:44:19.000 ps1__g 22.976750838060163 0.3842122561481298
2025-01-03T03:40:33.757 ps1__g 23.47410877138881 0.29883472888622675
2025-01-03T14:34:43.667 ps1__g 24.355579652794624 0.11276934277883548
2025-01-04T03:13:42.394 ps1__g 24.878243083010318 0.07679826884071721
2025-01-04T13:30:01.111 ps1__g 25.247954513648985 0.3465400009432349
2025-01-01T03:23:47.981 ps1__r 20.38253886506158 0.07759035632128713
2025-01-01T21:00:37.193 ps1__r 21.009122029467846 0.18771896086170398
2025-01-02T00:52:10.390 ps1__r 21.112275479388032 0.043916249912868015
2025-01-02T13:44:19.000 ps1__r 21.95257601232756 0.268457596633645
2025-01-03T03:40:33.757 ps1__r 22.65527229057802 0.03135396349335048
2025-01-03T14:34:43.667 ps1__r 23.13339159431332 0.08799649553984246
2025-01-04T03:13:42.394 ps1__r 23.763053642903067 0.33554253292900016
2025-01-04T13:30:01.111 ps1__r 24.233233178928494 0.057768357079195115
2025-01-05T08:57:54.302 ps1__r 24.848056054051103 0.19877965601260947
2025-01-05T16:15:58.093 ps1__r 24.969655290425408 0.35990657576657403
2025-01-06T06:10:15.261 ps1__r 25.175189040690196 0.06352562608484798
2025-01-06T12:35:38.843 ps1__r 25.170526210571474 0.2313156792840855
2025-01-01T03:23:47.981 ps1__i 20.841708276666186 0.23642243068827326
2025-01-01T21:00:37.193 ps1__i 20.521419980233603 0.3025902598634044
2025-01-02T00:52:10.390 ps1__i 20.896937881576957 0.1540736072869418
2025-01-02T13:44:19.000 ps1__i 21.358140417814504 0.08933874053769539
2025-01-03T03:40:33.757 ps1__i 22.319429483891035 0.13485393020007108
2025-01-03T14:34:43.667 ps1__i 22.233218717651198 0.3625144897571865
2025-01-04T03:13:42.394 ps1__i 22.730619331191413 0.2731328712474729
2025-01-04T13:30:01.111 ps1__i 22.739258673538256 0.04835343181347034
2025-01-05T08:57:54.302 ps1__i 23.230669866855013 0.10814964857595008
2025-01-05T16:15:58.093 ps1__i 23.71479745685535 0.04636312894434988
2025-01-06T06:10:15.261 ps1__i 23.781760375613672 0.33068468031277964
2025-01-06T12:35:38.843 ps1__i 24.209541313587064 0.22868977712091473
2025-01-07T01:35:13.363 ps1__i 24.40644967215578 0.3959535898820846
2025-01-07T17:46:30.502 ps1__i 24.66401387796881 0.0836444809603821
2025-01-07T23:56:36.246 ps1__i 24.504021514710423 0.19944947978574074
2025-01-08T17:06:24.444 ps1__i 25.368525177330667 0.33126248544684467
2025-01-09T05:35:16.663 ps1__i 25.37600865332136 0.32651039040030105
2025-01-09T16:37:59.626 ps1__i 25.476102813688758 0.1359062393452599
2025-01-01T03:23:47.981 ps1__z 20.072293480056693 0.2998698486670388
2025-01-01T21:00:37.193 ps1__z 19.85248196236592 0.2957644878413116
2025-01-02T00:52:10.390 ps1__z 20.184529707052796 0.09125528479797584
2025-01-02T13:44:19.000 ps1__z 20.53537782791274 0.32374680245738796
2025-01-03T03:40:33.757 ps1__z 20.9753913926699 0.20400254098246448
2025-01-03T14:34:43.667 ps1__z 21.403482941935486 0.23322169480281796
2025-01-04T03:13:42.394 ps1__z 22.125734773507695 0.14348174596404056
2025-01-04T13:30:01.111 ps1__z 22.344297438550388 0.2896291957150774
2025-01-05T08:57:54.302 ps1__z 22.6443303727544 0.34194683986641516
2025-01-05T16:15:58.093 ps1__z 22.952039471749494 0.2749231205117592
2025-01-06T06:10:15.261 ps1__z 23.202172193428257 0.3114031652752194
2025-01-06T12:35:38.843 ps1__z 23.085581582500232 0.04987328986724372
2025-01-07T01:35:13.363 ps1__z 23.123984684147565 0.37471044693545563
2025-01-07T17:46:30.502 ps1__z 23.77948768630128 0.38977499455290576
2025-01-07T23:56:36.246 ps1__z 23.635119850945202 0.29969988605229037
2025-01-08T17:06:24.444 ps1__z 24.00450843849849 0.0686483263335368
2025-01-09T05:35:16.663 ps1__z 24.407964455441146 0.17985850377958576
2025-01-09T16:37:59.626 ps1__z 24.56143436220877 0.22246916683097923
