   -0.308239834638672239E+01    0.493255913288098711E+02    0.444803522378429961E+00   -0.175831708624931515E+01   -0.146413386911628463E+01    0.276741010503330909E+01    0.296754976799115475E+02   -0.315327918424733653E+02
   -0.802727997354100609E+00    0.235835407208802792E+02    0.433942391426884400E+00   -0.203947501090935646E+01   -0.126075577858444077E+01    0.265935804261421094E+01    0.123085784402743812E+03   -0.314411171608654705E+02
   -0.129543914860098663E+01    0.173958076787092750E+02    0.566016210408165743E+00   -0.200219110658131516E+01   -0.155467373294447819E+01    0.276467407803385079E+01    0.508018633760912621E+02   -0.308086981083268157E+02
   -0.167494007916390686E+01    0.150153053211599676E+02    0.136686086831248138E+00   -0.208769022294974782E+01   -0.137535502957038669E+01    0.246675903074236036E+01    0.370743440231372858E+02   -0.297424936727242333E+02
   -0.175041070326230397E+01    0.223612508299539279E+02    0.644094797061186219E+00   -0.230045264331084809E+01   -0.182852806910458821E+01    0.243807855761908687E+01    0.245661632480581389E+02   -0.296571316477000835E+02
   -0.369239802558714025E+01    0.358357858158843356E+02    0.116414113060585689E+01   -0.285660535923524606E+01   -0.103706699860071017E+01    0.231966195796264207E+01    0.198544342363041864E+02   -0.295675842925569050E+02
   -0.159174776077270508E+01    0.526817464828491211E+02    0.385967130611654219E+00   -0.221526513278484316E+01   -0.986571998596191602E+00    0.248180655241012582E+01    0.395630508661270142E+02   -0.295140937435935520E+02
   -0.326242494103470726E+00    0.600584794812955138E+02    0.105169409341767804E-02   -0.266174484241489084E+01   -0.108804878314501630E+01    0.133976814234923824E+01    0.898725811363754872E+02   -0.292893348638041786E+02
   -0.226344679748291178E+01    0.442210626537943341E+02    0.115232697567376152E+01   -0.221394262923657559E+01   -0.113369678517560235E+01    0.225636709899570587E+01    0.246911651853572707E+02   -0.291624089385758651E+02
   -0.100110488809064435E+01    0.638145303816313856E+02    0.269663452227310141E+00   -0.178691572210659988E+01   -0.923505690155502990E+00    0.246628628112674209E+01    0.767917011753000622E+02   -0.291230397669435703E+02
   -0.257544016551246280E+01    0.576375423086997216E+02    0.338176627870428737E+00   -0.277090086783180922E+01   -0.116515303669145576E+01    0.184598624674618161E+01    0.600203813893447204E+02   -0.286908489533737097E+02
   -0.280315782715130091E+01    0.440819727916278197E+02    0.466955487853307649E+00   -0.212520887425990201E+01   -0.107283370172696113E+01    0.204148270443004609E+01    0.591657799147341876E+02   -0.286751064244663354E+02
   -0.134865140693509478E+01    0.593938330761541522E+02    0.124806046076693766E+00   -0.294074111218519985E+01   -0.169700196436889228E+01    0.222392938608632473E+01    0.247176032751604815E+02   -0.285180533628081854E+02
   -0.206734587709782947E+01    0.296405490113710073E+02    0.226191940833415622E+00   -0.238039049512895229E+01   -0.113476335879192258E+01    0.927741168246406289E+00    0.350127077115241434E+02   -0.285138475829328399E+02
   -0.537925300852702115E+01    0.335036329664344734E+02    0.695558611065673182E+00   -0.201103741024323046E+01   -0.105489466486827332E+01    0.129975850140273019E+01    0.284651325999851252E+02   -0.281466579733003108E+02
   -0.713701229012015315E+01    0.434240671749686697E+02    0.272956129536771341E+00   -0.220838061790660056E+01   -0.966046115670954553E+00    0.191499756052284664E+01    0.133885519649434457E+02   -0.280935619177853688E+02
   -0.955801626806828786E+00    0.384746173704604004E+02    0.699416007900340420E+00   -0.181597137539518205E+01   -0.177136550286822581E+01    0.163411510742121546E+01    0.518348727558531763E+02   -0.279546556138594511E+02
   -0.566926055102607052E+01    0.522621963169306696E+02    0.629575505912469024E+00   -0.285293562450158911E+01   -0.906991241290777905E+00    0.146878060970773028E+01    0.419722945827564047E+02   -0.279377850724261272E+02
   -0.209394608507447000E+01    0.177855628799788263E+02    0.144771348752321294E+01   -0.183157956222982876E+01   -0.121935838426766363E+01    0.201776585835331446E+01    0.299672809322611045E+02   -0.278291299606401736E+02
   -0.355812815684188077E+01    0.250626892786120834E+02    0.928283667819453040E+00   -0.266998971492932347E+01   -0.165226996730927667E+01    0.203400460828894003E+01    0.169423113526292859E+02   -0.277376087339893189E+02
   -0.982869150289291227E+00    0.716281173493424035E+02    0.540351198464013249E+00   -0.265786934503880090E+01   -0.127897416385411233E+01    0.165300651829897816E+01    0.588375006871361919E+02   -0.277263168937192930E+02
   -0.167320707038415684E+01    0.533751391437261731E+02    0.107802391231832817E+01   -0.239019046782743194E+01   -0.135293900243216125E+01    0.128371428006425847E+01    0.275362431293298791E+02   -0.276765780209599264E+02
   -0.116550570663426711E+01    0.431840669706846114E+02    0.130078549058259751E+01   -0.267926378941945975E+01   -0.148100661654145571E+01    0.185347890870936616E+01    0.366352315577535563E+02   -0.275589568490841543E+02
   -0.189795749880544040E+01    0.287786988463791005E+02    0.714015551255670400E+00   -0.180679038586416518E+01   -0.110432065918264932E+01    0.210068951675204563E+01    0.546650039162753600E+02   -0.275374116825905304E+02
   -0.638896830442647268E+01    0.368669450808178851E+02    0.592922690059859647E+00   -0.285151599673716039E+01   -0.103757067261552227E+01    0.174779372013788925E+01    0.137252927405663385E+02   -0.274255766074466223E+02
   -0.657356560052147199E+01    0.358524204954359789E+02    0.647324966464710494E+00   -0.268342726134358545E+01   -0.114230241791591847E+01    0.131915626459714019E+01    0.119837772150594262E+02   -0.273523778282558396E+02
   -0.755106668932810976E+00    0.397790886701447732E+02    0.476371034870500643E+00   -0.260723043438725899E+01   -0.122787511395494553E+01    0.191575482220410498E+01    0.848589472857855469E+02   -0.273035720957206252E+02
   -0.809397722484885840E+00    0.556491778558522299E+02    0.893208210167272809E+00   -0.254322777184034710E+01   -0.132634872903519474E+01    0.124412134903247007E+01    0.295769459411286952E+02   -0.271793631450093258E+02
   -0.275296129759140573E+01    0.259829122563352612E+02    0.897878646756945176E+00   -0.244529432639042454E+01   -0.120042955931998341E+01    0.133723398402476179E+01    0.482961911093676406E+02   -0.271547366915682673E+02
   -0.215183805298694075E+01    0.407494480462156190E+02    0.351884165007167571E+00   -0.267576788836029733E+01   -0.104074569063422651E+01    0.195272059789335573E+01    0.363973044896005646E+02   -0.270190380674904063E+02
   -0.593711542633183953E+01    0.376130285388102550E+02    0.158797566322805561E+00   -0.189918556599621313E+01   -0.104753648008179789E+01    0.133578872272189342E+01    0.160279282409537487E+02   -0.269873978045867631E+02
   -0.201158430915571795E+01    0.354499960760970225E+02    0.271945591024436051E+00   -0.226752625762411064E+01   -0.926373645483326236E+00    0.211969925146205229E+01    0.553738443262052940E+02   -0.269773506146555846E+02
   -0.141673048131795909E+01    0.349666506073119123E+02    0.128931465364605291E+01   -0.265487996619608335E+01   -0.141036057255475056E+01    0.162223513956110765E+01    0.407463099075826563E+02   -0.269740798542288829E+02
   -0.108288505561274651E+01    0.160954945344843807E+02    0.322516054503544813E+00   -0.243968797033929796E+01   -0.143292623279253828E+01    0.200527135801250900E+01    0.440761772672800163E+02   -0.269641226095239261E+02
   -0.565843932342128042E+00    0.254234743591686296E+02    0.341894756188809379E+00   -0.242544129408603792E+01   -0.118391111215017797E+01    0.194990251620278543E+01    0.437271091368165301E+02   -0.268863357843433093E+02
   -0.853121811584787615E+00    0.411289942906020585E+02    0.829011833024566047E+00   -0.216513118128193804E+01   -0.954513266689051676E+00    0.184533286882743019E+01    0.884331261852751993E+02   -0.268796487438221590E+02
   -0.315009136305155568E+01    0.275183428169001161E+02    0.119873473440753986E+01   -0.263110344529173368E+01   -0.111921106784740698E+01    0.198082491491009205E+01    0.266597244366475472E+02   -0.268556969333418039E+02
   -0.310963486359865193E+01    0.314976476846094293E+02    0.661521445677699660E+00   -0.237183725311899085E+01   -0.106784292521202717E+01    0.162467003975361890E+01    0.552381044421427561E+02   -0.268128728089288657E+02
   -0.195068671725919973E+01    0.480845470560366977E+02    0.397103974317361830E+00   -0.283543369962448955E+01   -0.110105759033405715E+01    0.960666549577635642E+00    0.320080769956172091E+02   -0.268097413167680259E+02
