ts,range,min_range,max_range
-0.0,0.8267333623516011,0.465470364658601,1.3344944669954257
-2.0176841435185184,0.88760604993942,0.88760604993942,0.88760604993942
-3.941715925925926,1.4839322451969648,1.4839322451969648,1.4839322451969648
-1.9745270138888888,0.8389080186221671,0.8389080186221671,0.8389080186221671
-3.9034012500000004,1.652597613750943,1.652597613750943,1.652597613750943
-2.0577987268518516,1.8822262841969826,1.8822262841969826,1.8822262841969826
-4.089077974537037,1.9321558797786,1.9321558797786,1.9321558797786
-1.9415049537037037,2.024203320603576,2.024203320603576,2.024203320603576
-4.086048136574074,1.4131706774682042,1.4131706774682042,1.4131706774682042
-2.0616625810185183,1.335230604908373,1.335230604908373,1.335230604908373
-3.9841155208333334,1.6178159989482848,1.6178159989482848,1.6178159989482848
-1.9881811805555554,1.6084153843304865,1.6084153843304865,1.6084153843304865
-3.9117750347222224,1.5635435909614808,1.5635435909614808,1.5635435909614808
-2.0587964699074077,2.2115430760080192,2.2115430760080192,2.2115430760080192
-2.0751242939814816,1.014084732072351,1.014084732072351,1.014084732072351
-3.9950894212962966,1.6779574294485937,1.6779574294485937,1.6779574294485937
-1.992988900462963,2.668810299004517,2.668810299004517,2.668810299004517
-1.902583009259259,2.6587110806188536,2.6587110806188536,2.6587110806188536
-1.9776169097222223,2.027737650124353,2.027737650124353,2.027737650124353
-4.0237353240740745,2.105934377982795,2.105934377982795,2.105934377982795
-2.0189925694444444,2.160057354365585,2.160057354365585,2.160057354365585
-3.9719509490740736,2.8248681040702914,2.8248681040702914,2.8248681040702914
-1.950631898148148,1.8228018996985513,1.8228018996985513,1.8228018996985513
-3.9199181249999997,2.7843483898849635,2.7843483898849635,2.7843483898849635
-2.085077662037037,1.3430666546608747,1.3430666546608747,1.3430666546608747
-4.08039667824074,1.6379919202319866,1.6379919202319866,1.6379919202319866
-1.9268036226851852,1.7835968420210748,1.7835968420210748,1.7835968420210748
-4.045454131944445,1.5886257256181997,1.5886257256181997,1.5886257256181997
-2.0321071296296296,1.4933832527821753,1.4933832527821753,1.4933832527821753
-3.933163321759259,1.6305504984926067,1.6305504984926067,1.6305504984926067
-1.9180350578703702,2.2611806220892836,2.2611806220892836,2.2611806220892836
-2.075854201388889,1.7700857027387653,1.7700857027387653,1.7700857027387653
-3.9897759027777777,1.6870217914267762,1.6870217914267762,1.6870217914267762
-1.966778333333333,2.1999384428062294,2.1999384428062294,2.1999384428062294
-1.950142314814815,1.7232038461203063,1.7232038461203063,1.7232038461203063
-3.9636825810185186,1.9125833083985164,1.9125833083985164,1.9125833083985164
-2.0312734722222223,1.575437086448459,1.575437086448459,1.575437086448459
-3.914913518518518,1.7411131406328195,1.7411131406328195,1.7411131406328195
-1.9436782638888888,2.0979040116120293,2.0979040116120293,2.0979040116120293
-1.9138024652777776,1.7723006286211798,1.7723006286211798,1.7723006286211798
-3.9789790509259255,1.416138992878492,1.416138992878492,1.416138992878492
-2.0383466087962963,1.4277212064293352,1.4277212064293352,1.4277212064293352
-4.030911030092592,1.4375100871450184,1.4375100871450184,1.4375100871450184
