,jd,mag,mag_unc,filter,limmag,programid
115,44244.15088530279,21.811460640207777,0.1,ps1__g,inf,0.0
116,44244.15088530279,24.237382033862,0.1,sdssu,inf,0.0
117,44244.15088530279,20.497243351602012,0.1,ps1__z,inf,0.0
118,44244.15088530279,21.327757095814246,0.1,ps1__r,inf,0.0
119,44244.15088530279,21.103532369639602,0.1,2massh,inf,0.0
120,44244.25088530279,22.30654981254443,0.1,ps1__g,inf,0.0
121,44244.25088530279,21.66872061540447,0.1,ps1__r,inf,0.0
122,44244.25088530279,21.90595321792584,0.1,ps1__i,inf,0.0
123,44244.25088530279,21.135640469790175,0.1,2massh,inf,0.0
124,44244.25088530279,20.510630519434535,0.1,ps1__z,inf,0.0
125,44244.25088530279,24.26842340335624,0.1,sdssu,inf,0.0
126,44244.35088530279,21.027680527163607,0.1,2massh,inf,0.0
127,44244.35088530279,21.357902049241822,0.1,ps1__r,inf,0.0
128,44244.35088530279,20.75376832378527,0.1,ps1__z,inf,0.0
129,44244.35088530279,24.62972935719032,0.1,sdssu,inf,0.0
130,44244.35088530279,22.343828033284975,0.1,ps1__g,inf,0.0
131,44244.35088530279,21.987590883511533,0.1,ps1__i,inf,0.0
132,44244.450885302795,21.89870923031394,0.1,ps1__i,inf,0.0
133,44244.450885302795,20.98181551074024,0.1,ps1__z,inf,0.0
134,44244.450885302795,22.586379335985566,0.1,ps1__g,inf,0.0
135,44244.450885302795,21.766796397899142,0.1,ps1__r,inf,0.0
136,44244.450885302795,21.107969340446868,0.1,2massh,inf,0.0
137,44244.450885302795,24.89770907527183,0.1,sdssu,inf,0.0
138,44244.55088530279,21.335873698826934,0.1,2massh,inf,0.0
139,44244.55088530279,22.132181824145565,0.1,ps1__i,inf,0.0
140,44244.55088530279,21.0089727663408,0.1,ps1__z,inf,0.0
141,44244.55088530279,24.810483527045996,0.1,sdssu,inf,0.0
142,44244.55088530279,22.65177423079878,0.1,ps1__g,inf,0.0
143,44244.55088530279,21.700234582972453,0.1,ps1__r,inf,0.0
144,44244.65088530279,21.95288147379449,0.1,ps1__r,inf,0.0
145,44244.65088530279,21.144168329227956,0.1,ps1__z,inf,0.0
146,44244.65088530279,21.313852816678892,0.1,2massh,inf,0.0
147,44244.65088530279,22.207701825644474,0.1,ps1__i,inf,0.0
148,44244.65088530279,22.947872938976143,0.1,ps1__g,inf,0.0
149,44244.65088530279,24.982726876361447,0.1,sdssu,inf,0.0
150,44244.75088530279,21.2096752955801,0.1,2massh,inf,0.0
151,44244.75088530279,21.05579685188129,0.1,ps1__z,inf,0.0
152,44244.75088530279,22.386876175883803,0.1,ps1__i,inf,0.0
153,44244.75088530279,23.21888373284544,0.1,ps1__g,inf,0.0
154,44244.75088530279,25.353850966888153,0.1,sdssu,inf,0.0
155,44244.75088530279,22.23779079290204,0.1,ps1__r,inf,0.0
156,44244.85088530279,23.288255459534142,0.1,ps1__g,inf,0.0
157,44244.85088530279,25.52587057123423,0.1,sdssu,inf,0.0
158,44244.85088530279,22.277594831961785,0.1,ps1__r,inf,0.0
159,44244.85088530279,21.207938891430352,0.1,2massh,inf,0.0
160,44244.85088530279,22.257904567133185,0.1,ps1__i,inf,0.0
161,44244.85088530279,21.111115950743987,0.1,ps1__z,inf,0.0
162,44244.950885302795,22.525783849009322,0.1,ps1__i,inf,0.0
163,44244.950885302795,22.314405531420224,0.1,ps1__r,inf,0.0
164,44244.950885302795,25.460906348603913,0.1,sdssu,inf,0.0
165,44244.950885302795,23.630042284610315,0.1,ps1__g,inf,0.0
166,44244.950885302795,21.26278513855453,0.1,2massh,inf,0.0
167,44244.950885302795,21.287937967876513,0.1,ps1__z,inf,0.0
168,44245.05088530279,21.349179582226057,0.1,2massh,inf,0.0
