luminosity_distance KNphi KNtheta inclination_EM timeshift log10_mej_dyn log10_mej_wind Ebv log_likelihood log_prior
473.9226829896148 38.21286191011151 22.594730146442583 0.8648943147705191 -1.5347015743420143 -1.7914734374073393 -1.0641809908183262 0.0 -303.0229608523779 -18.07758143073061
477.78147110039157 44.511494823031086 0.30837952832034377 1.3923153905953085 -1.712141197707567 -1.5065960330159123 -1.0203694827818326 0.0 -301.8521340950987 -17.820507616307637
479.68928526326 52.033136762439426 16.384729533668946 1.1602374650202751 -1.541860673420335 -1.6353961542969515 -1.0361167042827018 0.0 -301.7891067751862 -17.891253745596448
490.23329809411985 46.261052346304986 0.655295785956838 1.504244757151132 -1.607673284802646 -1.6817292195247024 -1.0665122222673633 0.0 -301.0886169851804 -17.8067107969253
441.3081391632428 47.15473852151744 27.383769352117024 1.2663835191110595 -1.5504276828039152 -1.7652844686473412 -1.0618905556171625 0.0 -300.361664119217 -17.8515619796915
497.4580656090998 38.571314802645716 6.24030916804876 1.4643474498092626 -1.5772192141475472 -1.6196087699337125 -1.0493392916814899 0.0 -299.71633518245653 -17.810171018661094
452.4348541957563 41.960555439660524 24.6644857337262 1.4284665052968415 -1.5863711071782238 -1.7656606930527874 -1.0661001541364423 0.0 -299.7097524603736 -17.814657877587916
479.4257497946762 50.24387715187587 0.1929742543574726 1.3487235303435972 -1.635163982904535 -1.5398815314883942 -1.0112319259911038 0.0 -299.58458180617254 -17.829358148934322
476.53537950936766 38.78166874982081 24.9007822009796 1.0457828774784357 -1.6253001472163544 -1.7454725652000584 -1.0439862269251479 0.0 -299.40444818802587 -17.94915373793496
494.48704155201364 40.38055378466177 8.059341102561028 0.18779081895667468 -1.6583060529110458 -1.6661373285132401 -1.040142374568393 0.0 -299.2664662254957 -19.48280569522279
448.31639693763134 46.57430340272631 16.966334083003613 1.3628215247598205 -1.5623841282600979 -1.6039349091674624 -1.071685337856099 0.0 -299.1980144326089 -17.826279091444878
470.91938429149826 43.76198652776651 14.31775015036126 0.24297733144981482 -1.6867702672656522 -1.570419118977903 -1.038626851228949 0.0 -299.1851241328865 -19.22914083137369
477.2332485728644 41.22646641203288 6.596199360025627 1.2828412191982501 -1.5514120554560158 -1.527623704559633 -1.064968228828005 0.0 -298.7684097561793 -17.84653962460889
484.16151677212343 42.87765372485515 3.394106882798949 0.81559941983631 -1.541796099696616 -1.7171761198563469 -1.0882052587706734 0.0 -298.5074451455183 -18.12176122797151
471.2728478969701 44.67199503855409 7.829222177987317 1.1354829147238488 -1.6353789159445578 -1.570920797347006 -1.0610508556783507 0.0 -298.4858704523225 -17.90239642481302
486.45211387803806 42.43504788757092 16.956767939476315 1.3341589196666497 -1.585628459854164 -1.513205739490761 -1.0065155026393549 0.0 -298.47632224507635 -17.832758513101926
493.7414548308196 39.62475133086393 11.692940377599278 0.5325095031285031 -1.6222830431434587 -1.4826689430905504 -1.0151633472619506 0.0 -298.40424550399183 -18.482365141187323
485.1434329414622 43.98161114873393 1.506260662895184 0.8135376266423049 -1.6970377233094758 -1.6863145427493578 -1.0480566594838603 0.0 -298.37093884829005 -18.123706113095558
494.35686425602 43.95057404442779 17.672794043327826 1.4916719754036898 -1.527051166928194 -1.587532110933708 -1.041216027583544 0.0 -298.24279828693477 -17.807628207808715
487.6364594862268 40.10233552988447 0.7244354200745855 1.2549110971595858 -1.6066120168440776 -1.5878613652270916 -1.037273926937171 0.0 -298.23461313031845 -17.855238841579816
450.49394392088305 47.26457938159395 21.682804316874954 1.4063322579884714 -1.4606337634839373 -1.6829372688891249 -1.0866238811953985 0.0 -298.2057232637003 -17.818080231023643
485.39813967696864 39.788459665307414 5.209893476551149 1.2244193994745924 -1.6454710668239239 -1.5724697635156746 -1.0516313619376454 0.0 -298.1804095678514 -17.865722464328016
495.88322081029696 39.042106096991645 14.89663424445475 0.7917971234689639 -1.5951310078731538 -1.5876860674963729 -1.0303098643318593 0.0 -298.17154547127785 -18.14471000786016
485.7866757504437 44.6298081909971 5.80512352966448 0.7943574346234653 -1.5065127306016803 -1.543897950937656 -1.0571954944923532 0.0 -298.10677315618364 -18.14218871694889
481.8454288122228 41.434801810312706 4.564340178578695 0.39343099693949185 -1.5396831620504166 -1.731391020933418 -1.0880787387014799 0.0 -298.06127187135513 -18.763276610599895
464.77915592877343 50.72516765647129 17.495857240287673 1.4890873286222464 -1.4968817859470858 -1.585980178002484 -1.035085170240942 0.0 -297.9993983262965 -17.80783650582862
498.9574018708415 41.26462226001098 4.38879974466755 1.301431096976328 -1.6068663815906916 -1.652277189750408 -1.0385123473140911 0.0 -297.87131568893824 -17.841220815577515
494.0782230088265 50.073081926652584 0.41152613324443765 1.328000501704106 -1.5171400509188346 -1.618027839604054 -1.041458622698702 0.0 -297.8301922556614 -17.83426373629961
488.66603675418 40.543841890817696 2.339842174509356 0.9050930084454705 -1.5438624201800426 -1.592869812085657 -1.0535118450203922 0.0 -297.7956829160688 -18.04467928264717
474.614278224632 44.33265118739017 13.752493518352486 1.1119551388262126 -1.5183939686937478 -1.6363727947154967 -1.0825399566496337 0.0 -297.7719733464165 -17.913677585185958
484.0731513242779 42.69512556174615 15.246499446030978 1.0488264691103761 -1.5530454291766664 -1.6715126294126061 -1.049019941015731 0.0 -297.69715425758096 -17.947396952366645
463.34637628114547 50.75081951337962 12.353254403474262 1.1553165988058471 -1.5487694347369387 -1.743941315553681 -1.066604126728603 0.0 -297.6705525529536 -17.89341020025906
474.6044116310411 49.88724586960954 2.383882430070459 0.20489526493448698 -1.62714722867308 -1.7183263139649412 -1.0583060342126325 0.0 -297.5359497421273 -19.39675776710152
497.1037531887171 41.04106963363779 11.950717412957136 1.1696509714983119 -1.6676721817698112 -1.6353915479654344 -1.033256384942156 0.0 -297.52067630628267 -17.887208645473567
486.487890881385 45.78735640158556 2.120562576481093 0.8878310633442956 -1.5355808179837906 -1.7893020145306713 -1.0718210658037217 0.0 -297.497682666835 -18.058477891907483
463.65762091992445 43.61628036619938 20.118214005181926 1.5399992878056992 -1.4905260860730154 -1.6327432174349026 -1.0767098437356453 0.0 -297.4179465614024 -17.804968908317083
486.2416835526767 50.915736745874 1.114733328790453 1.2873740681950452 -1.507622847912672 -1.5885872291036238 -1.0308807056131943 0.0 -297.4002175355095 -17.845208217633743
440.25718566828596 49.07478077887606 24.397866660776312 1.194792506918512 -1.5015884375630881 -1.6721995372078893 -1.0712921008984644 0.0 -297.33275828852516 -17.876915328486472
485.16160874187966 44.74317437895344 0.221840981536617 0.8561998133219674 -1.5189545533578346 -1.47798825481487 -1.0200766753214705 0.0 -297.2930723988826 -18.085058455029863
481.0974250431598 49.01589604186455 18.810634893748556 1.1315235926498615 -1.531901636393672 -1.5912935638559589 -1.0274088675643605 0.0 -297.2793249780345 -17.90424732314295
471.1724109681807 46.30694797588471 17.434490677855035 0.6084173339308155 -1.5077793310044934 -1.5393459713989843 -1.033153585621068 0.0 -297.2701473002773 -18.36386377325916
462.8488098537677 41.274577091009434 19.90436514382812 0.9276285543729693 -1.5931667736281057 -1.5839855267855338 -1.0538471594497665 0.0 -297.25110115069396 -18.02738824035691
480.40640421001945 50.60857578467147 5.587881850300311 1.3794818045333865 -1.5797130877280154 -1.5483635221739118 -1.027825089828777 0.0 -297.19878660405067 -17.8229079672184
459.6477902732736 44.98617345496737 18.915261108873203 1.3037785306305523 -1.5711899321129321 -1.7394511305663445 -1.0736673894782265 0.0 -297.19761011583614 -17.840575712087766
466.7840933791125 51.04207627230627 0.672386249096066 0.5765139419550175 -1.5301042985446607 -1.652402212462391 -1.0727822227541748 0.0 -297.1900307864569 -18.411272079038064
471.62676347479305 42.645310203394715 9.840461942117773 0.8769150549966447 -1.5963186693110551 -1.6125844237139457 -1.0767702231004666 0.0 -297.16805059370483 -18.06745851900698
