ts,range,min_range,max_range
-0.0,0.7616852444308391,0.4476847757173228,1.1385111130049048
-2.0,1.4670003005808816,0.6119071365133542,2.3705797478263473
-2.0176841435185184,0.8337673269866155,0.8337673269866155,0.8337673269866155
-3.941715925925926,1.3147003465239524,1.3147003465239524,1.3147003465239524
-1.9745270138888888,0.7807569447362974,0.7807569447362974,0.7807569447362974
-3.9034012500000004,0.9595138809036192,0.9595138809036192,0.9595138809036192
-2.0577987268518516,1.898367649733783,1.898367649733783,1.898367649733783
-4.089077974537037,1.9154560836602692,1.9154560836602692,1.9154560836602692
-1.9415049537037037,1.2573656083720532,1.2573656083720532,1.2573656083720532
-4.086048136574074,1.3200150671392619,1.3200150671392619,1.3200150671392619
-2.0616625810185183,1.3599211590333644,1.3599211590333644,1.3599211590333644
-3.9841155208333334,1.565158533708186,1.565158533708186,1.565158533708186
-1.9881811805555554,1.5721526546445805,1.5721526546445805,1.5721526546445805
-3.9117750347222224,1.657081210525091,1.657081210525091,1.657081210525091
-2.0587964699074077,2.3273017076587506,2.3273017076587506,2.3273017076587506
-2.0788322453703705,2.1681686193755287,2.1681686193755287,2.1681686193755287
-2.0751242939814816,0.7976703887841945,0.7976703887841945,0.7976703887841945
-3.9950894212962966,1.5001498293142048,1.5001498293142048,1.5001498293142048
-1.992988900462963,2.6147716703006583,2.6147716703006583,2.6147716703006583
-1.902583009259259,2.630928762188114,2.630928762188114,2.630928762188114
-1.9776169097222223,2.103418814850193,2.103418814850193,2.103418814850193
-4.0237353240740745,2.133608268119694,2.133608268119694,2.133608268119694
-5.920968333333334,2.3929108680202718,2.3929108680202718,2.3929108680202718
-2.0189925694444444,2.0503434130937643,2.0503434130937643,2.0503434130937643
-3.9719509490740736,2.855810118376135,2.855810118376135,2.855810118376135
-1.950631898148148,2.0183687475556846,2.0183687475556846,2.0183687475556846
-3.9199181249999997,2.6549636967612726,2.6549636967612726,2.6549636967612726
-2.085077662037037,1.2420900716160856,1.2420900716160856,1.2420900716160856
-4.0,1.2371359441020988,0.9380040853837794,1.5362678028204182
-1.9268036226851852,0.908540434758512,0.908540434758512,0.908540434758512
-4.045454131944445,1.5789936054847313,1.5789936054847313,1.5789936054847313
-2.0321071296296296,1.4848019109831356,1.4848019109831356,1.4848019109831356
-3.933163321759259,0.9536716635373685,0.9536716635373685,0.9536716635373685
-1.9180350578703702,2.3585888976566425,2.3585888976566425,2.3585888976566425
-2.075854201388889,1.7745008562105646,1.7745008562105646,1.7745008562105646
-3.9897759027777777,1.5923998658631797,1.5923998658631797,1.5923998658631797
-1.966778333333333,2.3099873231114167,2.3099873231114167,2.3099873231114167
-1.950142314814815,1.8805336714798138,1.8805336714798138,1.8805336714798138
-3.9636825810185186,1.9748011081813064,1.9748011081813064,1.9748011081813064
-2.0312734722222223,1.5212847281883548,1.5212847281883548,1.5212847281883548
-3.914913518518518,1.7138981620288716,1.7138981620288716,1.7138981620288716
-1.9436782638888888,2.237264609076723,2.237264609076723,2.237264609076723
-1.9138024652777776,0.9265349267284044,0.9265349267284044,0.9265349267284044
-2.0383466087962963,1.2080723481465765,1.2080723481465765,1.2080723481465765
