,jd,mag,mag_unc,filter,limmag,programid
62,44244.37644628129,21.5919596016021,0.1,ps1__r,inf,0.0
63,44244.37644628129,21.44503502624664,0.1,ps1__g,inf,0.0
64,44244.37644628129,21.525715058452914,0.1,ps1__z,inf,0.0
65,44244.37644628129,18.99844749896883,0.1,ps1__i,inf,0.0
66,44244.47644628129,21.465527144136967,0.1,ps1__g,inf,0.0
67,44244.47644628129,23.241427811943254,0.1,sdssu,inf,0.0
68,44244.47644628129,18.735771103415146,0.1,ps1__i,inf,0.0
69,44244.47644628129,21.320025092443608,0.1,2massh,inf,0.0
70,44244.47644628129,21.594349065776342,0.1,ps1__r,inf,0.0
71,44244.47644628129,21.39377523032155,0.1,ps1__z,inf,0.0
72,44244.576446281295,18.786107585617412,0.1,ps1__i,inf,0.0
73,44244.576446281295,21.310787353035725,0.1,ps1__z,inf,0.0
74,44244.576446281295,21.59053931203769,0.1,ps1__g,inf,0.0
75,44244.576446281295,23.505658148463468,0.1,sdssu,inf,0.0
76,44244.576446281295,21.546660117289857,0.1,ps1__r,inf,0.0
77,44244.576446281295,21.551523552110833,0.1,2massh,inf,0.0
78,44244.67644628129,21.055159647750262,0.1,ps1__z,inf,0.0
79,44244.67644628129,19.147476863910395,0.1,ps1__i,inf,0.0
80,44244.67644628129,21.323906818861825,0.1,2massh,inf,0.0
81,44244.67644628129,23.449174911865697,0.1,sdssu,inf,0.0
82,44244.67644628129,21.477924929986443,0.1,ps1__r,inf,0.0
83,44244.67644628129,21.42971763982671,0.1,ps1__g,inf,0.0
84,44244.77644628129,21.64791863393954,0.1,2massh,inf,0.0
85,44244.77644628129,21.30413372591078,0.1,ps1__z,inf,0.0
86,44244.77644628129,23.628428425406977,0.1,sdssu,inf,0.0
87,44244.77644628129,21.35664976811096,0.1,ps1__r,inf,0.0
88,44244.77644628129,21.505645644454123,0.1,ps1__g,inf,0.0
89,44244.77644628129,19.166335114439836,0.1,ps1__i,inf,0.0
90,44244.87644628129,20.96071982192451,0.1,ps1__z,inf,0.0
91,44244.87644628129,23.472908716999914,0.1,sdssu,inf,0.0
92,44244.87644628129,21.440870959105155,0.1,ps1__r,inf,0.0
93,44244.87644628129,21.570063281557502,0.1,2massh,inf,0.0
94,44244.87644628129,19.151208385879052,0.1,ps1__i,inf,0.0
95,44244.87644628129,21.67879441755823,0.1,ps1__g,inf,0.0
96,44244.97644628129,21.306611254379472,0.1,ps1__r,inf,0.0
97,44244.97644628129,20.924368400248824,0.1,ps1__z,inf,0.0
98,44244.97644628129,19.487789545602322,0.1,ps1__i,inf,0.0
99,44244.97644628129,21.4474019049214,0.1,2massh,inf,0.0
100,44244.97644628129,21.684455627566322,0.1,ps1__g,inf,0.0
101,44244.97644628129,23.759252771597886,0.1,sdssu,inf,0.0
102,44245.076446281295,21.426426623949027,0.1,2massh,inf,0.0
103,44245.076446281295,20.948159677365012,0.1,ps1__z,inf,0.0
104,44245.076446281295,19.450859119994718,0.1,ps1__i,inf,0.0
105,44245.076446281295,21.379131653936632,0.1,ps1__r,inf,0.0
106,44245.076446281295,21.867879041976728,0.1,ps1__g,inf,0.0
107,44245.076446281295,23.906801128288063,0.1,sdssu,inf,0.0
108,44245.17644628129,21.386602966863066,0.1,ps1__r,inf,0.0
109,44245.17644628129,21.828781889832893,0.1,ps1__g,inf,0.0
110,44245.17644628129,20.915545059449947,0.1,ps1__z,inf,0.0
111,44245.17644628129,23.891291883684282,0.1,sdssu,inf,0.0
112,44245.17644628129,21.372371895087912,0.1,2massh,inf,0.0
113,44245.17644628129,19.70595451699855,0.1,ps1__i,inf,0.0
114,44245.27644628129,19.748019107885963,0.1,ps1__i,inf,0.0
115,44245.27644628129,21.864954509989317,0.1,ps1__g,inf,0.0
116,44245.27644628129,24.019663400047055,0.1,sdssu,inf,0.0
117,44245.27644628129,20.881873203629127,0.1,ps1__z,inf,0.0
118,44245.27644628129,21.47449248971511,0.1,ps1__r,inf,0.0
119,44245.27644628129,21.370111899235805,0.1,2massh,inf,0.0
120,44245.37644628129,22.23883501827617,0.1,ps1__g,inf,0.0
121,44245.37644628129,21.74887454645099,0.1,ps1__r,inf,0.0
122,44245.37644628129,20.066676532907564,0.1,ps1__i,inf,0.0
123,44245.37644628129,21.345194272249383,0.1,2massh,inf,0.0
124,44245.37644628129,20.80714269085345,0.1,ps1__z,inf,0.0
125,44245.37644628129,23.893550570036073,0.1,sdssu,inf,0.0
126,44245.47644628129,21.211144385778347,0.1,2massh,inf,0.0
127,44245.47644628129,21.383520782356868,0.1,ps1__r,inf,0.0
128,44245.47644628129,20.970317851031353,0.1,ps1__z,inf,0.0
129,44245.47644628129,24.094345044439578,0.1,sdssu,inf,0.0
130,44245.47644628129,22.155627528044036,0.1,ps1__g,inf,0.0
131,44245.47644628129,20.145584264132275,0.1,ps1__i,inf,0.0
132,44245.576446281295,20.06544745291772,0.1,ps1__i,inf,0.0
133,44245.576446281295,21.156108297404398,0.1,ps1__z,inf,0.0
134,44245.576446281295,22.290044010386772,0.1,ps1__g,inf,0.0
135,44245.576446281295,21.71857926850243,0.1,ps1__r,inf,0.0
136,44245.576446281295,21.239121741164148,0.1,2massh,inf,0.0
137,44245.576446281295,24.213234729504315,0.1,sdssu,inf,0.0
138,44245.67644628129,21.42627539613506,0.1,2massh,inf,0.0
139,44245.67644628129,20.31375760991041,0.1,ps1__i,inf,0.0
140,44245.67644628129,21.151445981188996,0.1,ps1__z,inf,0.0
141,44245.67644628129,23.991695286548598,0.1,sdssu,inf,0.0
142,44245.67644628129,22.256432057854465,0.1,ps1__g,inf,0.0
143,44245.67644628129,21.584109511728943,0.1,ps1__r,inf,0.0
144,44245.77644628129,21.789611883297567,0.1,ps1__r,inf,0.0
145,44245.77644628129,21.23527361355165,0.1,ps1__z,inf,0.0
146,44245.77644628129,21.36734581108075,0.1,2massh,inf,0.0
