

    0.109421931309155884E-98    0.128041624430405091E+04    0.261655525078750998E+03    0.667722555694098503E+02    0.714803146365162689E+02   -0.948419408800279085E+00   -0.179239982733813896E+01   -0.148685553675588400E+01
    0.118030140486884349E-98    0.128026429866119543E+04    0.226346131563186646E+03    0.486678278446197510E+02    0.256291455030441284E+02   -0.993555784225463867E+00   -0.165711268782615662E+01   -0.219692143797874451E+01
    0.125825775595117293E-98    0.128013589398591193E+04    0.110253922015709250E+03    0.659216879712794253E+02    0.450972763934915690E+02   -0.187284877910209335E+01   -0.175438175487310200E+01   -0.264636760472040766E+01
    0.141706285330467243E-98    0.127989768913347530E+04    0.134910871419995715E+03    0.194560129165583504E+02    0.801696285282075394E+02   -0.197421039741584803E+01   -0.149351222876884715E+01   -0.238998931401815007E+01
    0.174112237221481958E-98    0.127948531359131971E+04    0.329616613061012345E+03    0.685994930472833033E+02    0.779582105888356836E+02   -0.124926303982132336E+01   -0.221923490399075796E+01   -0.148660490565780234E+01
    0.179812120791734192E-98    0.127942040051080426E+04    0.181401175271508663E+03    0.479195681360876904E+02    0.212662315467293226E+02   -0.762984788045137696E+00   -0.206872825079202372E+01   -0.259025768399165557E+01
    0.180961626853398447E-98    0.127940716728944517E+04    0.238723576068878174E+03    0.726152694225311279E+02    0.277537554502487183E+02   -0.742312550544738770E+00   -0.105926385521888733E+01   -0.208106654882431030E+01
    0.214325692424031681E-98    0.127906825544254525E+04    0.288757139444351196E+03    0.355396986007690430E+02    0.161137998104095459E+02   -0.131048440933227539E+00   -0.162199425697326660E+01   -0.254629510641098022E+01
    0.262666220413475873E-98    0.127866099252734489E+04    0.245422152280807495E+03    0.607019233703613281E+02    0.855899870395660400E+01   -0.158350205421447754E+01   -0.150853601098060608E+01   -0.196363019943237305E+01
    0.264574173355916230E-98    0.127864602916950003E+04    0.125040681711559145E+03    0.567767386016919460E+02    0.437182918410652803E+02   -0.153012241460705689E+01   -0.248258585119389164E+01   -0.261268747464234030E+01
    0.304290871555278215E-98    0.127836581605279912E+04    0.333921518264796362E+03    0.415538204858183775E+02    0.167330598875405343E+02   -0.677431876061416194E-01   -0.152333026301961127E+01   -0.231177626657080815E+01
    0.304372668936615384E-98    0.127836479021753826E+04    0.199551515079072203E+03    0.442347048482589003E+02    0.104293194926066768E+02   -0.775128672015363396E+00   -0.203568443827388634E+01   -0.274339412482687717E+01
    0.390456321920700332E-98    0.127786617538415771E+04    0.416476943492889404E+03    0.567186534404754639E+02    0.200933933258056641E+02   -0.493214249610900879E+00   -0.214425897598266602E+01   -0.168791088461875916E+01
    0.395050271103420525E-98    0.127784229327476532E+04    0.303844977013231471E+03    0.253956351071545683E+02    0.551216950267127217E+02   -0.921492681192780605E+00   -0.182774195123432626E+01   -0.181083217705777932E+01
    0.396824114749924606E-98    0.127783284475110736E+04    0.134268761277198792E+03    0.252687764167785645E+02    0.791554051637649536E+02   -0.177889084815979004E+01   -0.164568951725959778E+01   -0.264464515447616577E+01
    0.410116853545458790E-98    0.127776645850762748E+04    0.137797434329986572E+03    0.235637426376342773E+02    0.424683058261871338E+02   -0.197049200534820557E+01   -0.185966899991035461E+01   -0.255384939908981323E+01
    0.491467723876097829E-98    0.127740406194422098E+04    0.259197463183923446E+03    0.440292016987503345E+02    0.614277570088543143E+02   -0.528874355638795146E+00   -0.106864268583233257E+01   -0.201787217559993826E+01
    0.505085711430229850E-98    0.127734890991964812E+04    0.203191892504692078E+03    0.234417521953582764E+02    0.794567084312438965E+02   -0.377608895301818848E+00   -0.196842345595359802E+01   -0.269458788633346558E+01
    0.534736294654706583E-98    0.127723433048297443E+04    0.160360150122396846E+03    0.495832114849696097E+02    0.164075768692054886E+02   -0.148383728532011849E+01   -0.187042245262801599E+01   -0.239916591160160753E+01
    0.558812473811903811E-98    0.127714576173884097E+04    0.405166725516319275E+03    0.740248596668243408E+02    0.887313419580459595E+02   -0.133810997009277344E+01   -0.209645745158195496E+01   -0.134650903940200806E+01
