KNphi log10_mej_dyn log10_mej_wind inclination_EM luminosity_distance timeshift Ebv log_likelihood log_prior
31.945397587742555 -2.063306156480661 -0.5768795370490434 0.8347106601522024 76.56704393003231 -0.39762163046807797 0.0 -190.50108189731782 -13.604301564681359
31.859802272824652 -2.2125143773205598 -0.864706974004041 0.9853438048508433 43.505615896119444 -0.5241302818423741 0.0 -189.94356348133428 -13.486851961098102
57.14584182770644 -2.76370354532053 -1.1385402518535006 0.8323851055925816 36.34322647122312 -1.773294378620777 0.0 -189.10925220396075 -13.606413301462831
46.58880287257098 -2.605027786063624 -0.8558161914964062 1.170596517157442 44.782356796156805 -0.5353273861867966 0.0 -188.98107315003864 -13.386998454964644
26.548342904723302 -1.4833030111787777 -0.7745315260237882 0.7133350013655289 77.49279025056974 -1.6269844889034342 0.0 -188.84782937912362 -13.728783655829353
21.29744466623976 -2.2208976288765454 -0.5775665704766877 1.2890428184113225 77.07766527271559 -0.9530791367335394 0.0 -188.8288438224395 -13.344914011726207
70.33042816413365 -2.416054864752953 -0.7045239640068983 0.9311888445456784 56.20763084852707 -0.7198331053282772 0.0 -188.70139580434767 -13.524920086632534
39.98670972936688 -2.000614805982473 -1.1529440974543048 0.4556693131503529 54.62090635681248 -1.1458482512429224 0.0 -188.62925298242692 -14.12552133019457
56.852259152902406 -1.7532439636471744 -0.9199323183819508 0.9565270714596908 32.27328415340269 -1.7819121848831472 0.0 -188.62448047371117 -13.50656266676233
58.56955459061623 -2.5084381579807 -0.6442631677232948 1.0060987012150795 44.400442998084955 -1.8106087147376284 0.0 -188.46755743116393 -13.473398945582831
54.932935706283175 -1.445212098250733 -0.6606148827211622 1.3213354669259745 36.440111328043855 -1.0617523481811086 0.0 -188.30866471238735 -13.336128475166554
15.26417484999024 -2.758901146109085 -1.4709443434396898 1.213108977000043 27.516821493424693 -1.552586087341255 0.0 -188.24044794700177 -13.370067537042365
33.237254387678846 -1.1604312175654734 -0.8418688216563419 0.6333421235906296 72.62968396476705 -0.4877159963852504 0.0 -188.07391175791003 -13.829200522024555
55.72006960702707 -2.6986309987499935 -0.5704902888382337 1.4256240519632921 59.30551119407621 -1.7164665141911848 0.0 -187.95623575895033 -13.315259651172164
55.40834212070637 -2.7656237164380477 -0.5046333020306655 0.4070059480934355 59.714461437323315 -1.9685029246298777 0.0 -187.92622221659417 -14.231375461707005
37.399663234573666 -1.799397171298563 -0.5448826204203927 0.08119680307480714 61.65209119154677 -1.7058289524089914 0.0 -187.80003289903718 -15.816663399508293
59.299291217304024 -1.2624106684022325 -0.7541334342581991 0.5419161171939769 63.53350837920618 -1.8041571082628673 0.0 -187.68606839157314 -13.966762770129312
50.48939480379921 -2.5747417272299082 -0.5990021880172085 0.9270926426202788 70.12541484540738 -1.6170360441584508 0.0 -187.66304368928397 -13.527980449111729
45.3737697603303 -2.167553160342543 -0.9941203823333846 0.9268662516425688 46.20905118033765 -1.4839505846151062 0.0 -187.64680941263532 -13.528150354072103
