Nested Sampling Global Log-Evidence           :   -0.311650142413103808E+02  +/-    0.612405798911565269E-01

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Log-Evidence   -0.311650142413103808E+02 +/-    0.612405798911565269E-01
Local Log-Evidence   -0.311650142413103808E+02 +/-    0.612405798911565269E-01

Dim No.       Mean        Sigma
   1    0.191709662868303155E+03    0.659871675630635135E+01
   2    0.390471919760056494E+02    0.101451549048945324E+02
   3    0.596750591973995697E+02    0.189066204753325273E+02
   4    0.100990988726874265E+01    0.367573259207294001E+00
   5   -0.576970903173238292E+00    0.103195922872715645E+00
   6   -0.229249036835152831E+01    0.188871355679407937E+00
   7   -0.250111344420395776E+01    0.104446948801761863E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.191557960586135550E+03
   2    0.340844196697755564E+02
   3    0.758187034816239560E+02
   4    0.128325579245365051E+01
   5   -0.493512273809745050E+00
   6   -0.212598346180591680E+01
   7   -0.241688225788249333E+01

MAP Parameters
Dim No.        Parameter
   1    0.191557960586135550E+03
   2    0.340844196697755564E+02
   3    0.758187034816239560E+02
   4    0.128325579245365051E+01
   5   -0.493512273809745050E+00
   6   -0.212598346180591680E+01
   7   -0.241688225788249333E+01
