luminosity_distance KNphi KNtheta inclination_EM timeshift log10_mej_dyn log10_mej_wind Ebv log_likelihood log_prior
275.43882316087263 48.251450477556176 1.2787607909146497 0.5639264733937442 -1.9145805919289882 -1.4894340260989256 -1.5056486324641662 0.0 -298.38194895616397 -18.430901653033935
232.79175541538788 49.5128942743369 27.128087157979177 1.5467739797628433 -1.8697063876311772 -1.5143213571771432 -1.5185371003201091 0.0 -296.8536419297609 -17.8047831688624
238.90804523406524 50.67619138452619 18.69272748999315 1.4223243328134136 -1.8703729120964145 -1.5215953792594228 -1.5517778019924418 0.0 -296.3374784849185 -17.81555730525585
234.00084736360637 51.450760658513836 30.149688269893833 1.4440402470402114 -1.8431446664077917 -1.523831548231204 -1.4934237304874882 0.0 -296.21324362799675 -17.81254976168205
245.8173696990264 48.80686590419937 19.749197510810106 1.0389928265308979 -1.8115203625210223 -1.4619068563422253 -1.5287661753078068 0.0 -296.03134297287625 -17.953117661825285
257.6220821906704 47.508129767880014 3.690203643653192 1.4512312772942662 -1.8664342809276953 -1.559898812509787 -1.542596140601446 0.0 -296.02035732082373 -17.81165960109515
240.81703349820492 47.97891485987674 30.30414678718337 1.195538041911153 -1.9001509150698437 -1.60696248743228 -1.4805728624023349 0.0 -295.5792685295411 -17.87662132258188
245.2781040823908 53.739199577973075 23.872915532631943 1.444739976084435 -1.7141857976064414 -1.5961402087275773 -1.525447397511745 0.0 -295.4238222405935 -17.812460837446697
246.20641153886436 53.10739139471047 15.517386691589524 1.517844260164425 -1.869063602461459 -1.475533986221488 -1.499683054346453 0.0 -295.07679758513655 -17.80589722086364
260.9892408774711 56.93438308531813 6.746590318825718 0.4848239543487064 -1.7028748352778387 -1.5858799913337795 -1.520677101811664 0.0 -295.0222008350413 -18.56795136080548
268.88761858634655 47.88365198871753 8.061922873351895 0.7217370826187833 -1.918104053882542 -1.5293901948943451 -1.4924876279499597 0.0 -294.72974332706474 -18.218965707416935
231.74505501830194 56.32991939530601 14.68270170161231 1.2541503377951573 -1.8879772683256402 -1.6436660736110167 -1.5595486990511829 0.0 -294.65345393824344 -17.85548780010359
262.51805243878823 48.169279471416125 28.880839802723308 1.2075980174698957 -1.7777917956661116 -1.506739245011683 -1.4616584929771306 0.0 -294.5698700179406 -17.871954340895243
248.3271588276143 43.02274205655055 29.836055477893897 1.07887852892426 -1.83032852118704 -1.5506417135249317 -1.5142832646561408 0.0 -294.5204202345398 -17.930705802416746
255.45292224506895 48.90003594641684 8.085220248871247 1.40425930845292 -1.8567573917655924 -1.63173804095116 -1.5487593977461311 0.0 -294.3409862444492 -17.81842647244627
274.3115382683531 45.526622659849835 19.0916335135382 1.1671424874482694 -1.8575606830384135 -1.4399965977274058 -1.4680865048242895 0.0 -294.3166397348056 -17.888276318735354
263.1105092749456 54.08127368838909 17.230519248660645 0.17788865083600733 -1.7634411469883904 -1.6050948622806058 -1.4920631239364475 0.0 -294.27173058167546 -19.536371722428115
259.338265505389 47.91722218606202 28.33283818020465 1.4407598551592398 -1.8501970672144354 -1.624962305823117 -1.461485290469889 0.0 -294.1890977691654 -17.812973282057918
