    0.974990561205797412E+00    0.814988612167651394E+00    0.469901973882311268E+04    0.530508278969778766E-03    0.276284690758297480E+00   -0.187146419387346707E+01
    0.103069146515016241E+01    0.834705468403813766E+00    0.447279820617712994E+04   -0.172358687634666607E-03    0.302218559805284004E+00   -0.720586305947369388E+00
    0.980467638617690929E+00    0.740223671265640260E+00    0.446722513539407919E+04    0.158348400789424620E-03    0.373861086745561233E+00    0.155142617548110984E+00
    0.939310301837251060E+00    0.751332449070433617E+00    0.416408632334551567E+04    0.308718308015717079E-03    0.430119501177096630E+00    0.351949412009019191E+00
    0.106970228703038472E+01    0.752091113718433180E+00    0.397999539989976211E+04    0.284584431993432072E-03    0.394017222042186255E+00    0.354961711637872490E+00
    0.953801727807764510E+00    0.766928423446575080E+00    0.473175636816982387E+04   -0.904540224885512674E-03    0.281139198895873188E+00    0.377796381205115495E+00
    0.122198736272290787E+01    0.792100179462049692E+00    0.393121240526645624E+04   -0.665828985670167267E-05    0.475636537063215570E+00    0.504511720700067556E+00
    0.112236394508614024E+01    0.933714999021824754E+00    0.473520845905532406E+04   -0.379671702826072613E-03    0.677738090137786298E+00    0.564760557653645190E+00
    0.113774556558649542E+01    0.876109892563895043E+00    0.399241097610248653E+04   -0.662698248016761076E-04    0.443761239095988969E+00    0.704943945237385794E+00
    0.115533183576718468E+01    0.923363128032766101E+00    0.455909496098918225E+04   -0.250265915414106283E-03    0.850481868681113085E+00    0.808540499268486368E+00
    0.127884843570350615E+01    0.946481139090408097E+00    0.461155972815601854E+04   -0.502605461230118161E-03    0.972949362992566624E+00    0.834171393442293851E+00
    0.122257105989890325E+01    0.859247748963649416E+00    0.405251756072551916E+04   -0.573965723044266994E-03    0.716272869142193791E+00    0.113860092423862613E+01
    0.105708361973375586E+01    0.898349738321492675E+00    0.469215441107100469E+04   -0.250461974353629951E-03    0.387118359536384571E+00    0.114348535937155171E+01
    0.104516684905078794E+01    0.972666710090073439E+00    0.471250368126969079E+04   -0.303696386035482444E-03    0.403448899869525035E+00    0.115299187146319881E+01
    0.121835860539500507E+01    0.787041684940302688E+00    0.465051241465318071E+04    0.115091057534919333E-03    0.564692015921777868E+00    0.115333376383642161E+01
    0.110926211419362608E+01    0.914203638796545759E+00    0.452156128258833269E+04   -0.420979303503301954E-03    0.382982412591482690E+00    0.123350112009455337E+01
    0.997633044413505421E+00    0.741284133229856756E+00    0.466239535851882647E+04    0.165283280965863947E-03    0.366255339920684153E+00    0.129763522181281976E+01
    0.122594140673369933E+01    0.945440666456768608E+00    0.443410460842422071E+04    0.127536187112633500E-03    0.592325753820060807E+00    0.134593382294099473E+01
    0.114647681881386898E+01    0.901119369549587601E+00    0.453764324048600247E+04    0.924686885785688887E-04    0.367588224480478620E+00    0.135128399159918011E+01
    0.129289494990951237E+01    0.807948198005167706E+00    0.486494076740713808E+04   -0.116767741443123574E-03    0.974149230239138575E+00    0.136015091569963964E+01
    0.109126580487108993E+01    0.904759263934192481E+00    0.490627049653404083E+04    0.128178275619920636E-03    0.803989739027625272E+00    0.142078400816749162E+01
    0.108772732124966343E+01    0.981117276362809876E+00    0.453838797047935077E+04   -0.164018548749671775E-03    0.487884919099152548E+00    0.144315734185653111E+01
    0.121281372112042818E+01    0.818668233840098902E+00    0.494777885287048775E+04    0.788559459065879233E-04    0.769919261782546438E+00    0.145814264456042819E+01
    0.110918707125908389E+01    0.965267410650183177E+00    0.414085858222441311E+04    0.114509223196236312E-03    0.513449200460156296E+00    0.149840392644063281E+01
    0.128032975543236383E+01    0.870115249139296165E+00    0.419649086188538058E+04   -0.181261195814460287E-04    0.673407407877974817E+00    0.160466484770326834E+01
    0.102015596049760093E+01    0.866756826957408855E+00    0.419240655391161545E+04    0.268549760521315825E-03    0.531834818309086410E+00    0.163967463608116915E+01
    0.113805640480577441E+01    0.805644574039195205E+00    0.450275135758129272E+04    0.411314098609213920E-03    0.521140493317799325E+00    0.168807548387653261E+01
    0.122063000248895959E+01    0.787688135053547067E+00    0.425158466003352896E+04   -0.394991544874888562E-03    0.789802831253801130E+00    0.168960009388011589E+01
    0.102278053760528564E+01    0.913943082094192505E+00    0.483378775459527969E+04   -0.344507313451820570E-03    0.405662536621093750E+00    0.170356565967255724E+01
    0.113577466933214177E+01    0.990403404137758070E+00    0.466125160230597794E+04   -0.458946553982017167E-03    0.410953807146780870E+00    0.173424806319274971E+01
    0.120623665946811465E+01    0.983566809047123458E+00    0.448766206040508041E+04   -0.466138366830308644E-04    0.743670802412000009E+00    0.175769167092586676E+01
    0.118052257925870996E+01    0.785402546209681862E+00    0.493799697650626331E+04    0.211992618864089328E-03    0.809451108206788117E+00    0.191105388047709068E+01
    0.982492417088656533E+00    0.860748568848885509E+00    0.492857538367505640E+04   -0.330571934454837988E-03    0.421090352313167271E+00    0.198443254132818048E+01
    0.105693204367420490E+01    0.749133923684430325E+00    0.456076809516145295E+04   -0.271674224542644645E-04    0.425032970335540661E+00    0.199096142027754475E+01
